年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,3401025,01,成人發展與學習Adult Development and Learning (全英語授課/English-taught),張菀珍,"3
            3/0/0",3,必修,"一4,5,6",教育館204,40,link,"保留新生33人 ,列入人力資源與組織心理學分學程科目"
3,3401026,01,溝通理論與口語傳播Oral Communication:Theory and Practices,周傳久,"3
            3/0/0",3,選修,"一7,8,9",教育館206,40,link,",列入前瞻高齡跨域創新學分學程科目"
1,3401027,01,跨國婚姻適應與學習Adaptation and Learning in Transnational Marriages,陳怡華,"3
            3/0/0",3,選修,"二4,5,6",教育二館233,42,link,保留新生21人
1,3401032,01,社區教育與發展Community Education and Community Development (全英語授課/English-taught),蔡秀美,"3
            3/0/0",3,必修,"二4,5,6",教育館204,40,link,保留新生33人
1,3401036,01,成人教育生涯探索Seminar on Career Planning,魏惠娟,"2
            2/0/0",2,必修,"一10,11",教育館204,40,link,保留新生33人
1,3401101,01,成人教育導論Introducation of Adult Education,胡夢鯨,"3
            3/0/0",3,必修,"三4,5,6",教育館204,40,link,保留新生33人
2,3402009,01,成人教育方案規劃Program Planning of Adult Education,李藹慈,"3
            3/0/0",3,必修,"二7,8,9",教育館206,40,link,",列入長者人權門診跨域學分學程科目"
2,3402021,01,成人教學Adult Teaching,李藹慈 王維旎,"3
            3/0/0",3,必修,"一7,8,9",教育館204,40,link,",列入人力資源與組織心理學分學程科目"
3,3402026,01,成人教育行銷Marketing in Adult Education,高文彬,"3
            3/0/0",3,選修,"四4,5,6",教育館204,40,link,",列入長者人權門診跨域學分學程科目"
2,3402033,01,生涯發展與規劃Career Development and Planning,陳怡華,"3
            3/0/0",3,選修,"一4,5,6",教育二館233,42,link,
2,3402036,01,高齡社會與高齡教育Aging Society and Educational Gerontology,黃錦山,"3
            3/0/0",3,必修,"三4,5,6",教育館206,40,link,"先修科目(3401101)成人教育導論(及格)  ,列入前瞻高齡跨域創新學分學程科目 ,列入青銀共創跨域學分學程科目"
2,3402104,01,成人教育英文名著導讀（一）Introduction of Adult Education Readings (I) (全英語授課/English-taught),王維旎,"2
            2/0/0",2,選修,"二10,11",教育館206,40,link,
2,3402906,01,"成人教育文案撰寫、設計與表達Writing, designing and presentation skills for adult education programs(遠距教學/Distant learning) (全英語授課/English-taught)",林安緹,"2
            2/0/0",2,選修,"三11,12",教育館204,40,link,
4,3403010,01,成人教育實習Internship: Adult Education,陳玉樹,"4
            0/4/0",2,必修,"二13,14 四13,14",教育館204,40,link,113年度暑期實習學生必修，未實習者請勿修課。
3,3403026,01,教育研究法Research Methods of Education,李雅慧,"3
            3/0/0",3,必修,"二4,5,6",教育二館556,36,link,先修科目(3402037)教育統計(及格)
3,3403028,01,網路學習Online Learning,李藹慈 王維旎 林怡玫,"3
            3/0/0",3,必修,"三7,8,9",教育館206,40,link,",列入人力資源與組織心理學分學程科目"
3,3403034,01,成人教育社會學Sociology of Adult Education,林麗惠,"3
            3/0/0",3,必修,"三4,5,6",教育二館556,36,link,
3,3403100,01,成人教育生涯定向ACE Career Orientation,魏惠娟,"1
            1/0/0",1,必修,二11,教育館204,40,link,先修科目(3402531)成人教育生涯規劃(及格)
1,3404012,01,社會老年學Social gerontology,陳毓璟,"3
            3/0/0",3,選修,"三7,8,9",教育館204,40,link,"保留新生30人 ,列入前瞻高齡跨域創新學分學程科目 ,列入長者人權門診跨域學分學程科目 ,列入青銀共創跨域學分學程科目"
4,3404013,01,成人教育史哲History and Philosophy of Adult Education (全英語授課/English-taught),李雅慧,"3
            3/0/0",3,必修,"三4,5,6",教育二館533,35,link,需具備成人教育導論、成人發展與學習之學科基礎
4,3404017,01,照顧者多元教育介入方案Multi-component educational intervention for caregivers,許秋田,"3
            3/0/0",3,選修,"一4,5,6",教育二館531,32,link,",列入長者人權門診跨域學分學程科目"
4,3404019,01,成人教育與未來發展Adult Education and Future Development,魏惠娟,"1
            1/0/0",1,必修,二10,教育館204,40,link,先修科目(3403100)成人教育生涯定向(及格)
