年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,1011111,01,漢語語言學Chinese Linguistics,黃惠華,"2
            2/0/0",2,必修,"四4,5",文學院118,40,link,",列入華語文教學學程科目"
1,1011114,01,漢語語法Chinese Grammar,黃惠華,"2
            2/0/0",2,選修,"四8,9",文學院117,40,link,",列入華語文教學學程科目"
1,1011118,01,中華文化概論Introduction to Chinese Culture,蘇全正,"2
            2/0/0",2,選修,"三4,5",文學院142,40,link,",列入華語文教學學程科目"
2,1012415,01,劇場數位管理與實務（一）Digital Management and Practice in Theatre(I),鍾欣志,"3
            3/0/0",3,選修,"三10,11,12",文學院101,20,link,",列入「戲劇‧創意‧想像」學分學程科目"
3,1013219,01,博物館學Museology,賴國生,"2
            2/0/0",2,選修,"四13,14",文學院106,55,link,",列入藝術文物學程科目藝術文物學分學程必修課程"
3,1013415,01,音樂劇場的發展與變異（一）The Development and Variations of Musical Theatre (I),鍾欣志,"3
            3/0/0",3,選修,"四4,5,6",文學院101,40,link,",列入「戲劇‧創意‧想像」學分學程科目列入「戲劇‧創意‧想像」學分學程科目"
