年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,3915009,01,多媒體學習的理論與研究Theory and Research in Multimedia Learning,陳姚真,"2
            2/0/0",2,選修,"四8,9",教育館404,0,碩士班課程,link,
1,3915037,01,課程設計研究Research on Curriculum Design,林永豐,"2
            2/0/0",2,選修,"二4,5",教育館507,0,碩士班課程,link,
1,3915065,01,核心素養研究Research on Core Competencies,蔡清田,"2
            2/0/0",2,選修,"二8,9",教育館507,0,碩士班課程,link,
1,3915106,01,獨立研究：教學與學習（二）Independent Studies: Teaching and Learning(II),陳姚真,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3915108,01,獨立研究：教師與教學（二）Independent Studies: Teachers and Instruction(II),洪志成,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3915138,01,獨立研究：閱讀歷程與教學（二）Independent Studies: Reading Processes and Instruction,連啟舜,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3917008,01,課程評鑑專題Seminar on Curriculum Evaluation,林永豐,"2
            2/0/0",2,選修,"二2,3",教育館507,0,博士班課程,link,
1,3917068,01,核心素養專題研究Seminar on Core Competencies,蔡清田,"2
            2/0/0",2,選修,"二10,11",教育館507,0,博士班課程,link,
1,3917105,01,獨立研究：課程（一）Independent Studies: Curriculum (I),蔡清田,"1
            1/0/0",1,選修,二7,教授研究室,0,博士班課程,link,
1,3917137,01,獨立研究：教師與情緒（一）Independent Studies: Teachers and Emotion (I),洪志成,"1
            1/0/0",1,選修,二7,教授研究室,0,博士班課程,link,
1,3917152,01,獨立研究：數位學習（一）Independent Studies: e-Learning(I),陳姚真,"1
            1/0/0",1,選修,二7,教授研究室,0,博士班課程,link,
1,3917241,01,數位學習研究專題Seminar on e-Learning,陳姚真,"2
            2/0/0",2,選修,"二8,9",教育館404,0,博士班課程,link,
