年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,1405169,01,女性、文化與消費Female  Culture and Consumption,教師未定,"3
            3/0/0",3,選修,"五8,9,10",文學院004-1室,0,碩士班課程,link,
1,1405224,01,台語詩的創意與應用Creativity and Application for Taiwanese Poetry,陳瀅州,"3
            3/0/0",3,選修,"五3,4,5",文學院004-1室,0,碩士班課程,link,",列入本土語言與文化實踐學分學程科目"
1,1405227,01,地方體驗、敘事應用與數位化—地方知識與深度報導Local Experience  Narrative Application and Digitization: Local Knowledge and In-Depth Report,江寶釵 童信智,"3
            3/0/0",3,選修,"二7,8,9",文學院004-1室,0,碩士班課程,link,",列入電子商務學程科目 ,列入本土語言與文化實踐學分學程科目 ,列入原住民族文化資產與創意應用學分學程科目"
1,1405230,01,臺灣文學日文文獻選讀Selected Japanese Readings of Taiwan Literature,楊智景,"2
            2/0/0",2,選修,"四8,9",文學院004-1室,0,碩士班課程,link,",列入本土語言與文化實踐學分學程科目"
1,1406116,01,論文寫作（一）Thesis writing (I),楊智景,"2
            0/0/2",0,必修,"三10,11",文學院004-2室,0,碩士班課程,link,
1,1406121,01,語言研習（英文一）English Language Studies (I),王萬睿,"2
            0/0/2",1,必修,"二4,5",文學院004-2室,0,碩士班課程,link,
1,1406131,01,語言研習（日文一）Japanese Language Studies (I),楊智景,"2
            0/0/2",1,必修,"四4,5",文學院004-1室,0,碩士班課程,link,限本系生修.
1,1406151,01,田野調查、文獻整理與資訊化（一） Field Work  Documentation Management and Computerize (I),李知灝,"2
            0/0/2",1,必修,"三10,11",文學院004-1室,0,碩士班課程,link,一年級必修
1,1406172,01,台語電影專題Taiwanese Movie Feature,王萬睿,"3
            3/0/0",3,選修,"三3,4,5",文學院004-1室,0,碩士班課程,link,",列入原住民族文化資產與創意應用學分學程科目"
1,1406174,01,臺灣文學史專題Topics on Taiwan Literature,江寶釵,"2
            2/0/0",2,必修,"三8,9",文學院004-1室,0,碩士班課程,link,",列入原住民族文化資產與創意應用學分學程科目一年級必修"
