年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,4301002,01,計算機概論Introduction to Computers,鄭伯炤,"3
            3/0/0",3,必修,一E 三E,創新大樓504,45,link,"保留新生44人限本系生修. ,列入組織工程學程科目 ,列入功能性基因體學程科目 ,列入程式設計學程科目"
1,4301004,01,邏輯設計實驗Logic Design Laboratory,余英豪,"3
            0/3/0",1,必修,"五C,D",工學院A館221,48,link,保留新生44人限本系生修.
1,4301005,01,邏輯設計Logic Design,朱元三,"3
            3/0/0",3,必修,二F 四F,創新大樓103,20,link,保留新生20人限本系生修.
1,4301005,02,邏輯設計Logic Design (全英語授課/English-taught),余英豪,"3
            3/0/0",3,必修,二F 四F,工學院A館127,40,link,保留新生40人限本系生修.
2,4302001,01,電路學（一）Electric Circuits ( I ),謝奇文,"3
            3/0/0",3,必修,二F 四F,創新大樓102,80,link,限本系生修.
2,4302002,01,電子學（一）Electronics ( I ),吳建華,"3
            3/0/0",3,必修,"一C,D",工學院A館127,25,link,限本系生修.與電機系併班上課
2,4302002,02,電子學（一）Electronics ( I ),陳俊宏,"3
            3/0/0",3,必修,"二C,D",工學院A館127,25,link,限本系生修.與電機系併班上課
2,4302003,01,電工實驗（一）Electronic Engineering Laboratory ( I ),吳元康 吳建華 陳俊宏,"3
            0/3/0",1,必修,"三G,H",工學院A館221,46,link,限本系生修.
2,4302004,01,微分方程Differential Equations,翁健家,"3
            3/0/0",3,必修,"三C,D",創新大樓103,80,link,先修科目(4301001)線性代數(曾經修習) (2101019)微積分（一）(曾經修習) (2101020)微積分（二）(曾經修習) (所有先修條件都必須符合)限本系生修.
2,4302005,01,資料結構Data Structure,李詩偉,"3
            3/0/0",3,必修,二E 四E,創新大樓504,60,link,"先修科目(4151008)程式設計(及格) (4301003)程式設計(及格) (只要符合任一先修條件)限本系生修. ,列入組織工程學程科目 ,列入功能性基因體學程科目 ,列入程式設計學程科目"
3,4303002,01,通訊原理Principles of Communications (全英語授課/English-taught),劉宗憲,"3
            3/0/0",3,必修,二B 四B,創新大樓102,50,link,限本系生修.與電機系併班上課。
3,4303004,01,電磁學（二）Electromagentics ( II ),張嘉展,"3
            3/0/0",3,選修,一C 三C,工學院A館227,50,link,與電機系併班上課。
3,4303005,01,複變Complex Analysis,胡家彰,"3
            3/0/0",3,選修,二C 四C,創新大樓102,50,link,與電機系併班上課。
3,4303013,01,電腦網路導論Introduction to Computer Networks,吳承崧,"3
            3/0/0",3,選修,"三C,D",創新大樓504,30,link,",列入資通安全學程(1091起停辦)科目與電機系併班上課。"
3,4303033,01,電磁科技導論Introduction to Electromagnetic Technology,湯敬文,"3
            3/0/0",3,選修,"三4,5,6",創新大樓102,40,link,與電機系併班上課。
3,4303045,01,軟體程式開發實務與實作Practice and Implementation for  Software programming,李昌明,"3
            3/0/0",3,選修,"五4,5,6",創新大樓504,10,link,先修科目(4152201)資料結構(及格) (4302005)資料結構(及格) (只要符合任一先修條件)與電機系併班上課。
3,4303047,01,超大型積體電路設計導論Introduction to VLSI Design,黃崇勛,"3
            3/0/0",3,選修,"二E,F",工學院A館225,3,link,先修科目(4301005)邏輯設計(70分以上) (4302002)電子學（一）(70分以上) (4302012)電子學（二）(70分以上) (所有先修條件都必須符合)與電機系併班上課
4,4304002,01,通訊系統專題（二）Special Topics on Communication Systems ( II ),劉宗憲 李昌明 翁健家 胡家彰 蘇益生 邱茂清,"2
            2/0/0",2,選修,"一13,14",創新大樓439,10,link,與電機系併班上課。
4,4304003,01,電磁積體電路專題（二）Special Topics on Electromagnetic Integrated Circuits ( II ),吳建華 張嘉展 林士程 張盛富 湯敬文,"2
            2/0/0",2,選修,"四13,14",工學院A館125,35,link,與電機系併班上課。
4,4304006,01,網路技術與應用專題（二）Special Topics on Network Technology and Applications ( II ),吳承崧 鄭伯炤 施淵耀 李皇辰 李詩偉 潘仁義 賴傳淇,"2
            2/0/0",2,選修,"二13,14",創新大樓439,10,link,與電機系併班上課。
