年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,2708001,01,非線性光學Nonlinear Optics (全英語授課/English-taught),許佳振,"3
            3/0/0",3,選修,"二7,8,9",物理館303,0,博士班課程,link,",列入自然科學與材料生物科技全英文學分學程科目"
1,2708004,01,高等細胞分子生物學(一)Advanced Cellular Molecular Biology (I) (全英語授課/English-taught),江明格 陳浩仁,"3
            3/0/0",3,選修,"三8,9,10",生醫系228,0,博士班課程,link,",列入自然科學與材料生物科技全英文學分學程科目"
1,2708005,01,書報討論(一)Seminar(I) (全英語授課/English-taught),陳永恩,"2
            0/0/2",1,必修,"一4,5",生醫系460,0,博士班課程,link,",列入自然科學與材料生物科技全英文學分學程科目"
1,2708007,01,高等穩定同位素地球化學Stable Isotope Geochemistry (全英語授課/English-taught),趙鴻椿,"3
            3/0/0",3,選修,"四E,F",地震館301,0,博士班課程,link,",列入自然科學與材料生物科技全英文學分學程科目"
1,2708026,01,書報討論(三)Seminar (III) (全英語授課/English-taught),陳永恩,"2
            0/0/2",1,必修,"三4,5",生醫系460,0,博士班課程,link,先修科目：書報討論(一)、書報討論(二)及格
1,2708027,01,量子力學(一)Quantum Mechanics (I) (全英語授課/English-taught),吳欣澤,"3
            3/0/0",3,選修,二C 四C,物理館303,0,博士班課程,link,
1,2708028,01,電動力學(一)Electrodynamics (I) (全英語授課/English-taught),林財鈺,"3
            3/0/0",3,選修,"四7,8,9",物理館307,0,博士班課程,link,
1,2708030,01,土壤微生物學Advanced Soil Microbiology (全英語授課/English-taught),許昺慕,"3
            3/0/0",3,選修,"三3,4,5",地震館301,0,博士班課程,link,
1,2708031,01,地體動力學Geodynamics (全英語授課/English-taught),王維豪,"3
            3/0/0",3,選修,"二E,F",地震館305,0,博士班課程,link,
1,2708033,01,全球定位系統原理與應用Global Positioning System–Principles and Applications (全英語授課/English-taught),鄭凱謙,"3
            3/0/0",3,選修,"二E,F",地震館301,0,博士班課程,link,
1,2708051,01,古典力學Classical Mechanics (全英語授課/English-taught),林財鈺,"3
            3/0/0",3,選修,二G 四G,物理館307,0,博士班課程,link,
1,2708060,01,高等量子化學Advanced Quantum Chemistry (全英語授課/English-taught),胡維平,"3
            3/0/0",3,選修,"二B,C",化生系313,0,博士班課程,link,
1,2708062,01,生物數學建模Mathematical Modeling in Biology (全英語授課/English-taught),張覺心,"3
            3/0/0",3,選修,二F 四F,數學館307B,0,博士班課程,link,
