年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,2315711,01,數理統計（一）Mathematical Statistics (I),邱海唐,"3
            3/0/0",3,必修,二B 四B,數學館527,0,碩士班課程,link,
1,2315716,01,空間統計Spatial Statistics (全英語授課/English-taught),教師未定,"3
            3/0/0",3,選修,二E 四E,數學館308A,0,碩士班課程,link,
1,2315725,01,迴歸分析Regression Analysis,沈仲維,"3
            3/0/0",3,選修,一F 三F,數學館307A,0,碩士班課程,link,
1,2315730,01,統計軟體與應用Statistical Computing Languages and Software,謝進見,"3
            3/0/0",3,選修,二C 四C,數學館312,0,碩士班課程,link,
1,2315743,01,存活分析Survival Analysis,謝進見,"3
            3/0/0",3,選修,二F 四F,數學館307A,0,碩士班課程,link,
1,2315747,01,統計品管Statistical Quality Control,李宗翰,"3
            3/0/0",3,選修,一E 三E,數學館307A,0,碩士班課程,link,
1,2316734,01,統計學習Statistical Learning,王价輝,"3
            3/0/0",3,選修,二E 四E,數學館312,0,碩士班課程,link,
1,2316751,01,時間序列Time Series,邱海唐,"3
            3/0/0",3,選修,二E 四E,數學館527,0,碩士班課程,link,
1,2318814,01,論文選讀Literature Study,王价輝,"2
            2/0/0",2,必修,"二4,5",數學館527,0,碩士班課程,link,
