年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,5105101,01,個體經濟理論（一）Microeconomic Theory (I),陳怡妏,"3
            3/0/0",3,必修,"二7,8,9",管理學院336,0,碩博合開,link,
1,5105162,01,產業組織（二）Industrial Organization (II),陳和全,"3
            3/0/0",3,選修,"二10,11,12",管理學院426會議室,0,碩博合開,link,
1,5105201,01,總體經濟理論（一）Macroeconomic Theory (I),許毓珊,"3
            3/0/0",3,必修,"一8,9,10",管理學院336,0,碩博合開,link,
1,5105301,01,計量經濟學（一）Econometrics (I),郭芳彰,"3
            3/0/0",3,必修,"三8,9,10",管理學院426會議室,0,碩博合開,link,
1,5105502,01,國際金融（二）International Finance (II),吳致謙,"3
            3/0/0",3,必修,"三3,4,5",管理學院322,0,碩博合開,link,
1,5105610,01,都市經濟學Topics in Urban Economics (全英語授課/English-taught),教師未定,"3
            3/0/0",3,選修,"三3,4,5",管理學院336,0,碩博合開,link,
1,5105803,01,國際經濟專題研討（一）Seminar on the Topics of International Economics (I),賴宏彬,"2
            2/0/0",2,選修,"一8,9",管理學院208,0,碩博合開,link,先修科目(5105101)個體經濟理論（一）(曾經修習) (5105201)總體經濟理論（一）(曾經修習) (5105301)計量經濟學（一）(曾經修習) (所有先修條件都必須符合)博班同學請以加簽單進行選課
1,5105822,01,大陸經濟專題研究（二）Topics in the Economy of Mainland China (II),歐陽溥蔓,"3
            3/0/0",3,選修,"三7,8,9",管理學院336,0,碩博合開,link,
1,5105867,01,大數據資料分析Modern Big Data Analysis,簡廷軒,"3
            3/0/0",3,選修,"四3,4,5",管理學院102,40,碩博合開,link,支援國經所一年級二年級.
