年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,2101001,01,微積分（一）Calculus (I),江謝宏任,"5
            4/1/0",4,必修,"二4,5 三6 四4,5",數學館205,55,link,保留新生50人; 支援數學系一年級.
1,2101001,02,微積分（一）Calculus (I),潘志祥,"5
            4/1/0",4,必修,"一6 二4,5 四4,5",共同教室大樓204,55,link,保留新生50人; 支援化暨生化系一年級.星期一第6節為演習課，上課地點改至數學館204教室
1,2101001,03,微積分（一）Calculus (I),張瑞恩,"5
            4/1/0",4,必修,"一4,5,6 三4,5",共同教室大樓202,55,link,保留新生55人; 支援物理系一年級.
1,2101001,04,微積分（一）Calculus (I),教師未定,"5
            4/1/0",4,必修,"一4,5 三4,5 四6",共同教室大樓201,55,link,
1,2101002,01,微積分（二）Calculus (II),紀美秀,"5
            4/1/0",4,必修,"一11,12 三6,11,12",數學館203,70,link,
1,2101003,01,微積分（一）Calculus (I),陳孟豁,"4
            3/1/0",3,必修,二C 三6 四C,共同教室大樓216,100,link,"保留新生80人; 支援心理系經濟學系一年級. ,列入國際菁英學分學程科目星期三第6節為演習課，上課地點改至管院106教室"
1,2101003,02,微積分（一）Calculus (I),黃志強,"4
            3/1/0",3,必修,二C 三6 四C,共同教室大樓215,90,link,"保留新生80人; 支援心理系經濟學系一年級. ,列入國際菁英學分學程科目星期三第6節為演習課，上課地點改至管院107教室"
1,2101003,03,微積分（一）Calculus (I),王琪仁,"4
            3/1/0",3,必修,一C 三C 四6,共同教室大樓215,90,link,"保留新生80人; 支援企管系會資系一年級. ,列入國際菁英學分學程科目"
1,2101003,04,微積分（一）Calculus (I),紀美秀,"4
            3/1/0",3,必修,一C 三C 四6,共同教室大樓211,100,link,"保留新生80人; 支援企管系會資系一年級. ,列入國際菁英學分學程科目"
1,2101019,01,微積分（一）Calculus (I),尤玲凰,"4
            3/1/0",3,必修,一C 三C 四6,共同教室大樓422,90,link,保留新生85人; 支援資工系電機系機械系光機電整合工程組機械系機械工程組化工系通訊系一年級.
1,2101019,02,微積分（一）Calculus (I),賴振耀,"4
            3/1/0",3,必修,一C 三C 四6,數學館201,90,link,保留新生85人; 支援資工系電機系機械系光機電整合工程組機械系機械工程組化工系通訊系一年級.
1,2101019,03,微積分（一）Calculus (I),廖文欽,"4
            3/1/0",3,必修,一C 三C 四6,共同教室大樓208,55,link,保留新生52人; 支援資工系電機系化工系通訊系一年級.
1,2101019,04,微積分（一）Calculus (I),徐淑裕,"4
            3/1/0",3,必修,一C 三C 四6,共同教室大樓204,55,link,保留新生52人; 支援資工系電機系化工系通訊系一年級.
1,2101019,05,微積分（一）Calculus (I),褚孫錦,"4
            3/1/0",3,必修,一C 三C 四6,共同教室大樓214,55,link,保留新生52人; 支援資工系電機系化工系通訊系一年級.
1,2101019,06,微積分（一）Calculus (I),張守德,"4
            3/1/0",3,必修,一C 三C 四6,共同教室大樓206,55,link,保留新生52人; 支援資工系電機系化工系通訊系一年級.
1,2101019,07,微積分（一）Calculus (I),教師未定,"4
            3/1/0",3,必修,一6 二C 四C,共同教室大樓203,55,link,保留新生50人; 支援地環系一年級.星期一第6節為演習課，上課地點改至數學館203教室
1,2101021,01,數學導論Introductory Mathematics,張守德,"3
            3/0/0",3,必修,一E 三E,數學館205,60,link,保留新生50人; 支援數學系一年級.
2,2102001,01,高等微積分（一）Advanced Calculus (I),黃博峙,"5
            4/1/0",4,必修,"二4,5 三6 四4,5",數學館201,90,link,"先修科目(2101001)微積分（一）(及格) (2101002)微積分（二）(及格) (只要符合任一先修條件) ,列入數理經濟學程(1131起停辦)科目"
2,2102012,01,線性代數(二)Linear Algebra (II),張瑞恩,"4
            3/1/0",3,必修,一E 二6 三E,數學館201,90,link,支援數學系二年級.
2,2102201,01,微分方程（一）Introduction to Ordinary Differential Equation (I),張覺心,"3
            3/0/0",3,選修,二E 四E,數學館203,70,link,
2,2102502,01,Python與數學學習Python Programming in Mathematics,褚孫錦,"3
            3/0/0",3,選修,二E 四E,電算中心215教室,70,link,
2,2102701,01,機率論Introduction to Probability,李宗翰,"3
            3/0/0",3,必修,一C 三C,數學館203,70,link,"支援數學系二年級. ,列入程式設計學程科目"
3,2103301,01,幾何學Introduction to Geometry,張瑞恩,"3
            3/0/0",3,必修,二E 四E,數學館205,60,link,先修科目(2101001)微積分（一）(及格) (2101002)微積分（二）(及格) (所有先修條件都必須符合)
3,2103401,01,近世代數（一）Modern Algebra (I),廖文欽,"3
            3/0/0",3,選修,二F 四F,數學館203,70,link,
3,2103404,01,離散數學Discrete Mathematics,江謝宏任,"3
            3/0/0",3,選修,一F 三F,數學館204,40,link,
3,2103524,01,初等數論Elementary Number Theory,廖文欽,"3
            3/0/0",3,選修,一G 三G,數學館204,40,link,
3,2103613,01,數值分析導論Introduction to Numerical Analysis,賴振耀,"3
            3/0/0",3,選修,一E 三E,數學館204,40,link,
4,2104557,01,機器學習概論Introduction of Machine Learning,教師未定,"3
            3/0/0",3,選修,二B 四B,數學館203,70,link,
4,2104701,01,統計推論Statistical Inference,沈仲維,"3
            3/0/0",3,選修,一C 三C,數學館527,50,link,"先修科目(2103701)統計科學(及格) (2103711)統計方法(及格) (只要符合任一先修條件) ,列入數理經濟學程(1131起停辦)科目 ,列入精算經濟學分學程科目"
