年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,6055007,01,德文法學名著選讀（一）Readings on Selected Topics of German Law (I),高文琦,"2
            2/0/0",2,選修,"四4,5",法學院509,0,碩博合開,link,
1,6055072,01,商事法專題研究（保險法）(三)Seminar on Commercial Law (Insurance Law)(III),羅俊瑋,"2
            2/0/0",2,選修,"一4,5",法學院509,20,碩博合開,link,碩士班民商法組相對必修課程。
1,6055101,01,社會法專題研究（一）Seminar on Social Law (I),郝鳳鳴,"3
            3/0/0",3,選修,"一7,8,9",法學院407,0,碩博合開,link,碩士班勞動法與社會法組相對必修課程。
1,6055109,01,行政法專題研究－行政作用法（一）Seminar on Administrative Law-Administrative Action Law (I),劉建宏,"2
            2/0/0",2,選修,"一8,9",法學院307,0,碩博合開,link,碩士班公法組相對必修課程。
1,6055127,01,刑法基礎理論專題研究（一）Seminar on Criminal Law-Basic Theory (I),林琬珊,"2
            2/0/0",2,選修,"二8,9",法學院507,0,碩博合開,link,碩士班刑事法組相對必修課程。
1,6055152,01,刑事政策專題研究 (四)Seminar on Criminal Policy (IV),盧映潔,"2
            2/0/0",2,選修,"二4,5",法學院507,0,碩博合開,link,碩士班刑事法組相對必修課程。
1,6055155,01,刑事訴訟法專題研究（一）Seminar on Law of Criminal Procedure (I),謝國欣,"2
            2/0/0",2,選修,"二10,11",法學院307,0,碩博合開,link,碩士班刑事法組相對必修課程。
1,6055183,01,勞動法專題研究（三）Seminar on Labor Law (III),周兆昱,"2
            2/0/0",2,選修,"二4,5",法學院406,0,碩博合開,link,碩士班勞動法與社會法組相對必修課程。
1,6055208,01,國際公法基礎理論之研究（二）Basic Principles of Public International Law (II),廖宗聖,"2
            2/0/0",2,選修,"三4,5",法學院407,0,碩博合開,link,碩士班國際法及環境永續組相對必修課程。
1,6055211,01,行政法專題研究－行政救濟法（一）Seminar on Administrative Law－Administrative Remedy Law (I),江義雄,"2
            2/0/0",2,選修,"二11,12",法學院507,0,碩博合開,link,碩士班公法組相對必修課程。
1,6055217,01,憲法訴訟專題研究（一）Seminar on Constitutional Procedure,吳信華,"2
            2/0/0",2,選修,"二8,9",法學院509,0,碩博合開,link,碩士班公法組相對必修課程。
1,6055314,01,商事法專題研究（企業法制）（二）Seminar on Commercial Law: Corporate Law (II),洪令家,"2
            2/0/0",2,選修,"一8,9",法學院406,0,碩博合開,link,碩士班民商法組相對必修課程。
1,6055317,01,民法專題研究（財產法）（一）Seminar on Civil Law (Property Law)(I),謝哲勝,"2
            2/0/0",2,選修,"二10,11",法學院306,0,碩博合開,link,碩士班民商法組相對必修課程。
1,6055325,01,民事程序法專題研究（民事訴訟法）（一）Seminar on the Law of Civil Procedure (Law of Civil Procedure)(I),周廷翰,"2
            2/0/0",2,選修,"三4,5",法學院509,0,碩博合開,link,碩士班民商法組相對必修課程。
1,6055328,01,民法專題研究（財產法）（七）Seminar on Civil Law (Property Law)(VII),楊宏暉,"2
            2/0/0",2,選修,"一10,11",法學院407,20,碩博合開,link,碩士班民商法組相對必修課程。
1,6055343,01,法學德文（一）Legal German (I),江嘉琪,"2
            2/0/0",2,選修,"四4,5",法學院508,0,碩博合開,link,
1,6055345,01,法學日文（一）Legal Japanese (I),李仁淼,"2
            2/0/0",2,選修,"二8,9",法學院508,0,碩博合開,link,
1,6055351,01,法學英文（一）Legal English (I),謝國欣,"2
            2/0/0",2,選修,"二4,5",法學院306,0,碩博合開,link,",列入財經法律國際商務法全英語學分學程科目"
1,6055398,01,民事特別法專題研究（十六）－農業與法律Seminar on Study of the Relevant Civil Codes(XⅥ) - Agriculture and the Law,廖蕙玟,"2
            2/0/0",2,選修,"三10,11",法學院509,0,碩博合開,link,碩士班民商法組相對必修課程。
1,6055403,01,行政法基礎理論與行政組織法專題研究（一）Seminar on Fundamental Theories of Organization in Administrative Law (I),江嘉琪,"2
            2/0/0",2,選修,"四8,9",法學院509,0,碩博合開,link,碩士班公法組相對必修課程。
1,6055427,01,跨國企業與人權專題研究（一）Seminar on Transnational Corporations and Human Rights (I),廖宗聖 謝國欣,"2
            2/0/0",2,選修,"一4,5",法學院307,0,碩博合開,link,碩士班國際法及環境永續組相對必修課程。
1,6055468,01,法理學及法學方法專題研究（二）Seminar on Jurisprudence and Legal Methodology(II),高文琦,"2
            2/0/0",2,選修,"三8,9",法學院509,0,碩博合開,link,碩士班基礎法學組相對必修課程。
1,6055487,01,科際法律專題研究（五）Seminars on Interdisciplinary Legal Studies(V),施慧玲,"2
            2/0/0",2,選修,"四8,9",法學院406,0,碩博合開,link,碩士班基礎法學組相對必修課程。
1,6055499,01,法律史專題研究（三）Seminar on Legal History (III),梁弘孟,"2
            2/0/0",2,選修,"四4,5",法學院407,0,碩博合開,link,碩士班基礎法學組相對必修課程。
1,6055542,01,公法理論與實務專題研究（一）－憲法與行政法之整合Seminar on the Public Law of Theories and Practices(I) －The Integration of Constitutional Law and A,李仁淼,"2
            2/0/0",2,選修,"三4,5",法學院508,0,碩博合開,link,碩士班公法組相對必修課程。
1,6055563,01,法院實習（一）District Court Clinic （I）,李文輝,"4
            0/4/0",2,選修,"三13,14 五13,14",法學院307,6,碩博合開,link,限本系生修.限法學院研究生選修，須經法律學系與嘉義地方法院審核後始得選修。實習地點於嘉義地方法院，實習時數每學期80小時，實習時間由嘉義地方法院與法律學系視實習導師與選課同學時間，另行協商排定。
