年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,4100008,01,程式語言Programming Languages,蕭承諺,"3
            3/0/0",3,必修,"一F,G",創新大樓341,80,link,"保留新生50人; 支援數學系一年級. ,列入程式設計學程科目"
1,4101002,01,程式語言Programming Languages,王俊堯,"3
            3/0/0",3,必修,二F 四F,電算中心215教室,70,link,"保留新生56人; 支援機械系光機電整合工程組機械系機械工程組一年級. ,列入大數據經濟分析學分學程科目"
1,4101002,02,程式語言Programming Languages,蔡政宇,"3
            3/0/0",3,必修,二B 四B,創新大樓201,42,link,"保留新生42人; 支援機械系光機電整合工程組機械系機械工程組一年級. ,列入大數據經濟分析學分學程科目"
1,4101012,01,資訊概論Introduction to Information Science,林維暘,"2
            2/0/0",2,必修,"一8,9",工學院A館001,120,link,"保留新生90人限本系生修. ,列入程式設計學程科目"
1,4101021,01,單板機與深度學習應用入門Single-board Computer and Deep Learning,蔡政宇,"1
            1/0/0",1,選修,三5,活動中心B1自造基地,80,link,",列入青銀共創跨域學分學程科目"
1,4101022,01,物聯網與網頁應用程式開發IoT and Web Application Development,蔡政宇,"1
            1/0/0",1,選修,三4,活動中心B1自造基地,80,link,",列入青銀共創跨域學分學程科目"
1,4101031,01,程式設計（一）Program Design (I) (全英語授課/English-taught),程芙茵,"3
            3/0/0",3,必修,二E 四E,工學院A館101,80,link,"保留新生50人限本系生修. ,列入電子商務學程科目 ,列入軟體工程學程科目 ,列入功能性基因體學程科目 ,列入程式設計學程科目 ,列入大數據經濟分析學分學程科目 ,列入金融科技學分學程科目 ,列入人工智慧與電腦審計學程科目限修80人"
1,4101031,02,程式設計（一）Program Design (I),王銘宏,"3
            3/0/0",3,必修,二C 四C,創新大樓341,80,link,"保留新生50人限本系生修. ,列入電子商務學程科目 ,列入軟體工程學程科目 ,列入功能性基因體學程科目 ,列入程式設計學程科目 ,列入大數據經濟分析學分學程科目 ,列入金融科技學分學程科目 ,列入人工智慧與電腦審計學程科目限修80人"
1,4101033,01,程式設計實習（一）Quiz Section for Program Design (I),程芙茵,"2
            0/2/0",1,必修,"一13,14",創新大樓341,40,link,"保留新生25人限本系生修. ,列入電子商務學程科目限修40人"
1,4101033,02,程式設計實習（一）Quiz Section for Program Design (I),程芙茵,"2
            0/2/0",1,必修,"三13,14",創新大樓341,40,link,"保留新生25人限本系生修. ,列入電子商務學程科目限修40人"
1,4101033,03,程式設計實習（一）Quiz Section for Program Design (I),王銘宏,"2
            0/2/0",1,必修,"二13,14",創新大樓341,40,link,"保留新生25人限本系生修. ,列入電子商務學程科目限修40人"
1,4101033,04,程式設計實習（一）Quiz Section for Program Design (I),王銘宏,"2
            0/2/0",1,必修,"四13,14",創新大樓341,40,link,"保留新生25人限本系生修. ,列入電子商務學程科目限修40人"
1,4101036,01,智慧計算系統Intelligent Computing System(遠距教學/Distant learning),游寶達,"1
            1/0/0",1,選修,三7,活動中心B1自造基地,80,link,https://ecourse2.ccu.edu.tw/
