年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,3301001,01,政治學Politics,江宜樺,"3
            3/0/0",3,必修,"四3,4,5",社科院二館106,45,link,保留新生45人113學年度(含)起入學學生大一必修課；本課程可採計為112學年度(含)前入學學生必修課「政治學(一)」。
1,3301002,01,權力分立與政治Separation of Powers and Politics (全英語授課/English-taught),蔡榮祥,"2
            2/0/0",2,選修,"二7,8",社科院二館108,65,link,113學年度(含)起入學學生「政治理論與比較政治組」之專業選修，其他學生則為自由選修。
1,3301003,01,社會學Sociology,林平,"3
            3/0/0",3,必修,"四7,8,9",社科院二館108,65,link,保留新生48人可採計為112學年度(含)以前入學學生之必修「社會學(一)」(但僅能採計2學分，多的1學分不可以列為自由選修或其他學分)
1,3301004,01,俯拾皆政治，旁門左道政治學An Unorthodoxical Political Scientist's Perspectives on Some (maybe) Trivial Issues,劉從葦,"2
            2/0/0",2,選修,"一7,8",社科院二館701,30,link,自由選修
1,3301005,01,行政學Public Administration,李翠萍,"3
            3/0/0",3,必修,"五7,8,9",社科院二館108,65,link,保留新生48人
2,3301081,01,政治學英文名著選讀（一）Political Science Classics (I),李佩珊,"2
            2/0/0",2,選修,"二8,9",社科院二館709,20,link,112學年度(含)入學以前學生之必修
2,3301140,01,經濟學（二）Economics (II),李翠萍,"2
            2/0/0",2,選修,"四13,14",社科院二館105,15,link,112學年度(含)前入學學生必修課
2,3301970,01,西洋政治思想史History of Western Political Philosophy,魏楚陽,"3
            3/0/0",3,選修,"四4,5,6",社科院二館103,40,link,此門為112學年度(含)前入學之學生必修課。
2,3302000,01,政治學方法論（一）Introduction to Political Methodology (I),郭祐輑,"3
            3/0/0",3,必修,"三7,8,9",社科院二館108,65,link,
2,3302008,01,台灣政經發展專題研究Seminar on Political and Economic Development in Taiwan,陳尚志,"3
            3/0/0",3,選修,"二10,11,12",社科院二館802,10,link,「政治理論與比較政治組」專業選修(若為112學年度(含)以前入學者，為「比較政治組」或「公民社會組」專業選修二擇一)；本課程可邊吃晚餐邊上課。
2,3302010,01,比較政府與政治（一）Comparative Governments and Politics (I),林瓊珠,"3
            3/0/0",3,必修,"二7,8,9",社科院二館106,45,link,
2,3302011,01,音樂與政治Music and Politics,劉從葦,"2
            2/0/0",2,選修,"一5,6",社科院二館701,30,link,自由選修
2,3302013,01,人工智慧倫理專書選讀Selected Readings of Artificial Intelligence Ethics,李翠萍,"2
            2/0/0",2,選修,"四7,8",社科院二館105,15,link,113學年度(含)起入學學生「政治與科技」組專業選修。
2,3302020,01,國際關係（一）International Relations (I),郭祐輑,"3
            3/0/0",3,必修,"二4,5,6",社科院二館106,45,link,"限本系生修. ,列入國際政治經濟學程科目"
2,3302030,01,行政學（一）Public Administration (I),莊文忠,"3
            3/0/0",3,必修,"四7,8,9",社科院二館106,45,link,
2,3302370,01,中國外交史Diplomatic History of China,藍玉春,"3
            3/0/0",3,選修,"二7,8,9",社科院二館701,30,link,國際關係組專業選修
2,3302401,01,政治意識型態Political Ideologies,陳尚志,"2
            2/0/0",2,選修,"三13,14",社科院二館802,10,link,「政治理論與比較政治組」專業選修(若為112學年度(含)以前入學學生，則為「比較政治組」、「公民社會組」專業選修二擇一)；教師同意可邊吃晚餐邊上課。
2,3302411,01,國際人權與女權Rights of Men and Rights of Women,藍玉春,"3
            3/0/0",3,選修,"四7,8,9",社科院二館701,30,link,國際關係組、公民社會組專業選修二擇一
2,3302421,01,公部門倫理議題Ethical Issues in Public Sector,徐千偉,"3
            3/0/0",3,選修,"一4,5,6",社科院二館709,20,link,「公行與政策組」專業選修
3,3303000,01,政治學統計方法（一）Statistical Methods for Political Research (I),陳光輝,"3
            3/0/0",3,必修,"一7,8,9",社科院二館606,25,link,(上課地點為資訊處216)
3,3303000,02,政治學統計方法（一）Statistical Methods for Political Research (I),陳光輝,"3
            3/0/0",3,必修,"一10,11,12",社科院二館701,30,link,(實際上課地點為資訊處216教室)
3,3303011,01,政治思想導論：康德與黑格爾Introduction to Political Thought of Kant and Hegel,魏楚陽,"2
            2/0/0",2,選修,"三4,5",社科院二館709,20,link,「政治理論與比較政治組」專業選修(112學年度(含)前入學者則為「比較與政治組」專業選修)
3,3303013,01,非營利組織管理Management of Nonprofit Organization,莊文忠,"2
            2/0/0",2,選修,"三8,9",社科院二館105,15,link,公行與政策組專業選修
3,3303014,01,政治學質化比較分析與集合理論Qualitative Comparative Analysis and Set Theory in Political Science,劉從葦,"3
            3/0/0",3,選修,"五7,8,9",社科院二館701,30,link,113學年度(含)起入學之「政治理論與比較政治組」專業選修；其他學年度入學學生為自由選修。
3,3303022,01,公共政策個案分析Case Studies in Public Policy,徐千偉,"3
            3/0/0",3,選修,"二4,5,6",社科院二館709,20,link,「公行與政策組」專業選修
2,3304671,01,"繪本、小說、與多元文化教育Picture Books, Novels, and Multicultural Education",劉從葦,"2
            2/0/0",2,選修,"五10,11",社科院二館701,30,link,",列入「戲劇‧創意‧想像」學分學程科目112學年度(含)入學以前「公民社會組」專業選修。"
4,3304680,01,公民社會基本觀念Basic Concepts of Civil Society,魏楚陽,"3
            3/0/0",3,選修,"二7,8,9",社科院二館105,15,link,「政治理論與比較政治組」專業選修(若為112學年度(含)以前入學者，則為「比較政治組」專業選修或「公民社會組」專業必修二擇一)
4,3304690,01,從電影分析著名工業污染事件Industrial Pollution ??Movie Based Case Studies (全英語授課/English-taught),李翠萍,"2
            2/0/0",2,選修,"四10,11",社科院二館105,15,link,",列入全球領導及永續發展跨領域全英語學分學程科目113學年度(含)起入學學生「公行與政策組」專業選修；112學年度(含)前入學學生「公民社會組」專業選修"
