年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,5201001,01,企業概論Introduction to Business,楊文芬,"3
            3/0/0",3,必修,"五4,5,6",管理學院441研討室,62,link,"保留新生50人限本系生修. ,列入管理經濟學程科目 ,列入人力資源與組織心理學分學程科目 ,列入國際菁英學分學程科目限本系大一A班學生修讀"
1,5201001,02,企業概論Introduction to Business,鄭祥麟 龔天鈞,"3
            3/0/0",3,必修,"四7,8,9",管理學院115,60,link,"保留新生50人限本系生修. ,列入管理經濟學程科目 ,列入人力資源與組織心理學分學程科目 ,列入國際菁英學分學程科目限本系大一B班學生修讀"
1,5201010,01,初級會計學(一)Accounting I,王明昌,"4
            3/1/0",3,必修,"二4,5,6 四6",管理學院114,90,link,"保留新生50人限本系生修. ,列入國際菁英學分學程科目限本系大一B班學生修讀"
1,5201017,01,企業概論Introduction to Business,陳志昕 陳明晃,"3
            3/0/0",3,必修,"五3,4,5",管理學院114,90,link,"保留新生55人; 支援資管系一年級A班B班. ,列入管理經濟學程科目 ,列入人力資源與組織心理學分學程科目 ,列入國際菁英學分學程科目本系生不得修習"
1,5201017,02,企業概論Introduction to Business,方慧臻,"3
            3/0/0",3,必修,"五7,8,9",管理學院114,90,link,"保留新生75人; 支援財金系一年級A班B班. ,列入管理經濟學程科目 ,列入人力資源與組織心理學分學程科目 ,列入國際菁英學分學程科目本系生不得修習"
1,5201017,03,企業概論Introduction to Business,方慧臻,"3
            3/0/0",3,選修,"一7,8,9",管理學院115,60,link,",列入管理經濟學程科目 ,列入人力資源與組織心理學分學程科目 ,列入國際菁英學分學程科目本系生不得修習"
2,5202001,01,行銷管理Marketing Management,莊世杰,"3
            3/0/0",3,必修,"四4,5,6",管理學院441研討室,62,link,"先修科目(5201001)企業概論(及格) (5201002)管理學(及格) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入創意創新創造創業學分學程科目 ,列入國際菁英學分學程科目限本系大二A班學生修讀"
2,5202001,02,行銷管理Marketing Management,游蓓怡,"3
            3/0/0",3,必修,"四4,5,6",管理學院454,90,link,"先修科目(5201001)企業概論(及格) (5201002)管理學(及格) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入創意創新創造創業學分學程科目 ,列入國際菁英學分學程科目限本系大二B班學生修讀"
2,5202003,01,統計學（一）Statistics (I),陳明德,"4
            3/1/0",3,必修,"二7 四7,8,9",管理學院214,90,link,",列入程式設計學程科目 ,列入國際菁英學分學程科目限本系生修習"
2,5202007,01,民法概要An Introduction to Civil Law,梁弘孟,"3
            3/0/0",3,必修,"三10,11,12",管理學院114,90,link,"限本系生修. ,列入國際菁英學分學程科目"
2,5202009,01,管理科學概論Introduction to Management Sciences,陳世彬,"3
            3/0/0",3,必修,"三4,5 五4",管理學院115,60,link,"本系大二A班學生修讀,外系亦可修習。"
2,5202009,02,管理科學概論Introduction to Management Sciences,陳世彬,"3
            3/0/0",3,必修,"三6 五5,6",管理學院115,60,link,"本系大二B班學生修讀,外系亦可修習。"
2,5202012,01,運籌管理Logistics Management,葉丁鴻,"3
            3/0/0",3,選修,"二C,D",管理學院115,60,link,",列入電子商務學程科目 ,列入管理經濟學程科目 ,列入國際菁英學分學程科目"
2,5202041,01,服務業行銷管理Marketing Management For Services,曾光華,"2
            2/0/0",2,選修,"二4,5",管理學院214,90,link,先修科目(5201001)企業概論(及格) (5201002)管理學(及格) (所有先修條件都必須符合)
2,5202052,01,財務管理（一）Financial Management (I) (全英語授課/English-taught),鎮明常,"3
            3/0/0",3,必修,三B 五B,管理學院214,90,link,
3,5203002,01,人力資源管理Human Resource Management (全英語授課/English-taught),連雅慧,"3
            3/0/0",3,必修,"五4,5,6",管理學院116,50,link,"先修科目(5201002)管理學(及格) (5202039)組織行為(及格) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入人力資源與組織心理學分學程科目 ,列入國際菁英學分學程科目限本系大三A班學生修讀"
3,5203002,02,人力資源管理Human Resource Management,楊文芬,"3
            3/0/0",3,必修,"四4,5,6",管理學院455,30,link,"先修科目(5201002)管理學(及格) (5202039)組織行為(及格) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入人力資源與組織心理學分學程科目 ,列入國際菁英學分學程科目限本系大三B班學生修讀"
3,5203073,01,消費者行為Consumer Behavior (全英語授課/English-taught),蘇宏仁,"3
            3/0/0",3,選修,"三7,8,9",管理學院427,32,link,"先修科目(5202001)行銷管理(及格)  ,列入國際菁英學分學程科目"
3,5203085,01,企業實習Enterprise Internship,連雅慧 李佩璇,"2
            2/0/0",2,選修,"一8,9",管理學院427,32,link,
3,5203087,01,商用英文（一）Business English Training I (全英語授課/English-taught),陳詠卉,"2
            2/0/0",2,選修,"二4,5",管理學院427,32,link,",列入國際菁英學分學程科目限本系生修習，外文系不得修習。"
3,5203088,01,商用英文溝通與會話Business English Communication (全英語授課/English-taught),陳詠卉,"3
            3/0/0",3,選修,"四4,5,6",管理學院115,60,link,"先修科目(5201001)企業概論(及格) (5201017)企業概論(及格) (5261104)初級會計學（一）(及格) (5261101)初級會計學(一)(及格) (只要符合任一先修條件)支援財金系會資系三年級四年級A班B班. ,列入國際菁英學分學程科目外文系不得修習。"
3,5203094,01,職涯管理與發展Career Management and Development,劉敏熙,"3
            3/0/0",3,選修,"五4,5,6",管理學院455,30,link,先修科目(5201001)企業概論(及格) (5201002)管理學(及格) (所有先修條件都必須符合)
3,5203098,01,行動微課程：職涯探索Action-based micro course: Career exploration,劉敏熙,"1
            1/0/0",1,選修,四10,管理學院4561,10,link,
4,5204002,01,策略管理Strategic Management,許嘉文,"3
            3/0/0",3,必修,"二7,8,9",管理學院427,32,link,"先修科目(5202001)行銷管理(及格) (5202012)運籌管理(及格) (5202013)管理資訊系統概論(及格) (5203002)人力資源管理(及格) (5202052)財務管理（一）(及格) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入創意創新創造創業學分學程科目限本系大四A班學生修讀"
4,5204002,02,策略管理Strategic Management,許嘉文,"3
            3/0/0",3,必修,"三4,5,6",管理學院454,90,link,"先修科目(5202001)行銷管理(及格) (5202012)運籌管理(及格) (5202013)管理資訊系統概論(及格) (5202052)財務管理（一）(及格) (5203002)人力資源管理(及格) (所有先修條件都必須符合) ,列入管理經濟學程科目 ,列入創意創新創造創業學分學程科目限本系大四B班學生修讀"
4,5204063,01,領導學Leadership,賴璽方,"3
            3/0/0",3,選修,"二10,11,12",管理學院116,50,link,",列入人力資源與組織心理學分學程科目"
4,5204064,01,全球供應鏈管理Global Supply Chain Management,蔡國揚,"3
            3/0/0",3,選修,"三2,3,4",管理學院116,50,link,",列入管理經濟學程科目"
4,5204092,01,數位經濟下的消費者洞察Consumer insights in digital economy,游蓓怡 楊文芬,"3
            3/0/0",3,選修,"三7,8,9",管理學院455,30,link,
4,5204103,01,行動微課程：自主學習與競賽專案（二）Action-based micro course: Self-learning and business competition project (II),楊文芬,"1
            1/0/0",1,選修,四10,管理學院455,30,link,
