年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
3,6203020,01,公司法Corporation Law,洪令家,"2
            2/0/0",2,必修,"一10,11",法學院206,90,link,先修科目(6102020)民法債編總論（二）(曾經修習) (6202019)民法債編總論（二）(曾經修習) (6302020)民法債編總論（二）(曾經修習) (6012012)民法債編總論（二）(曾經修習) (只要符合任一先修條件)
3,6203024,01,海商法Maritime Law,羅俊瑋,"2
            2/0/0",2,選修,"一2,3",法學院206,90,link,先修科目(6012012)民法債編總論（二）(曾經修習) (6102020)民法債編總論（二）(曾經修習) (6202019)民法債編總論（二）(曾經修習) (6302020)民法債編總論（二）(曾經修習) (只要符合任一先修條件)支援法學組法制組三年級.法律學系共同相對必修課程。
3,6203025,01,民法債編各論（一）Civil Law：Kinds of Obligations (I),周兆昱,"2
            2/0/0",2,必修,"二2,3",法學院205,70,link,
3,6203033,01,刑事訴訟法（一）Law of Criminal Procedure (I),謝國欣,"2
            2/0/0",2,必修,"二8,9",法學院202,50,link,
3,6203035,01,民事訴訟法（一）Law of Civil Procedure (I),廖蕙玟,"2
            2/0/0",2,必修,"四4,5",法學院201,50,link,
3,6203045,01,教育法Education Law,李仁淼,"2
            2/0/0",2,選修,"二10,11",法學院205,70,link,法制組專業相對必修課程。
3,6203048,01,行政程序法Administrative Procedure Law,王韻茹,"2
            2/0/0",2,選修,"三8,9",法學院205,70,link,法制組專業相對必修課程。
3,6203049,01,憲法實例演習（二）Case Studies Coccnstitution Law (II),吳信華,"2
            2/0/0",2,選修,"四8,9",法學院202,50,link,先修科目(6012032)行政法總論（二）(曾經修習) (6102044)行政法總論（二）(曾經修習) (6202044)行政法總論（二）(曾經修習) (6302011)行政法總論（二）(曾經修習) (6302016)行政法總論（二）(曾經修習) (只要符合任一先修條件)法制組專業相對必修課程。
2,6203061,01,社會法總論General Principles of Social Law,王韻茹,"2
            2/0/0",2,選修,"四4,5",法學院205,70,link,"支援法學組法制組二年級. ,列入長者人權門診跨域學分學程科目法律學系共同相對必修課程。"
3,6203063,01,勞動法總論General Principles of Labor Law,周兆昱,"2
            2/0/0",2,選修,"二10,11",法學院101階梯教室,120,link,支援法學組法制組三年級.法律學系共同相對必修課程。
4,6204001,01,訴願及行政訴訟法（一）Admistrative Appeal and Administrative Adjudication Law (I),劉建宏,"2
            2/0/0",2,必修,"一10,11",法學院205,70,link,
