年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,1151017,01,英文作文（一）English Composition (I)　　　　 (全英語授課/English-taught),謝志謙,"3
            3/0/0",3,必修,"三7,8,9",文學院137,20,link,保留新生20人限本系生修.
1,1151017,02,英文作文（一）English Composition (I)　　　　 (全英語授課/English-taught),吳勉禛,"3
            3/0/0",3,必修,"三7,8,9",文學院281,20,link,保留新生20人限本系生修.
1,1151017,03,英文作文（一）English Composition (I)　　　　 (全英語授課/English-taught),葉純純,"3
            3/0/0",3,必修,"三7,8,9",文學院113,20,link,保留新生20人限本系生修.
1,1151021,01,西洋文學概論（一）Introduction to Western Literature (I) (全英語授課/English-taught),王明月,"3
            3/0/0",3,必修,"四4,5,6",文學院143,35,link,保留新生35人限本系生修.
1,1151021,02,西洋文學概論（一）Introduction to Western Literature (I) (全英語授課/English-taught),楊意鈴,"3
            3/0/0",3,必修,"四4,5,6",文學院148,35,link,保留新生35人限本系生修.
1,1151023,01,法文（一）French (I),陳泓光,"3
            3/0/0",3,必修,"三4,5,6",文學院148,35,link,保留新生35人限本系生修.
1,1151025,01,德文（一）German (I),楊美娟,"3
            3/0/0",3,必修,"一10,11,12",文學院136,60,link,保留新生60人限本系生修.
1,1151027,01,日文（一）Japanese (I),吳幸茹,"3
            3/0/0",3,必修,"二4,5,6",文學院136,60,link,保留新生60人限本系生修.
1,1151029,01,西班牙文（一）Spanish (I),李優俐,"3
            3/0/0",3,必修,"五4,5,6",文學院148,35,link,保留新生35人限本系生修.
1,1151031,01,英語聽講（一）English Speaking and Listening (I) (全英語授課/English-taught),張美芳,"3
            3/0/0",3,必修,二F 四F,文學院152,20,link,保留新生20人限本系生修.
1,1151031,02,英語聽講（一）English Speaking and Listening (I) (全英語授課/English-taught),教師未定,"3
            3/0/0",3,必修,"四7,8,9",文學院137,20,link,保留新生20人限本系生修.
1,1151031,03,英語聽講（一）English Speaking and Listening (I) (全英語授課/English-taught),楊意鈴,"3
            3/0/0",3,必修,"二8,9 四8",文學院150,20,link,保留新生20人限本系生修.
2,1152001,01,語言學概論（一）Introduction to Linguistics (I),林惠玲,"3
            3/0/0",3,必修,"三4,5,6",文學院136,60,link,
2,1152063,01,英文作文（三）English Composition (III),教師未定,"3
            3/0/0",3,必修,"二4,5 四5",文學院137,20,link,先修科目(1151018)英文作文（二）(及格)
2,1152063,02,英文作文（三）English Composition (III) (全英語授課/English-taught),鄭英雪,"3
            3/0/0",3,必修,二C 四C,文學院150,20,link,先修科目(1151018)英文作文（二）(及格)
2,1152063,03,英文作文（三）English Composition (III),龔紹明,"3
            3/0/0",3,必修,二C 四C,文學院281,20,link,先修科目(1151018)英文作文（二）(及格)
2,1152077,01,英語聽講（三）English Speaking and Listening III (全英語授課/English-taught),張美芳,"3
            3/0/0",3,必修,"三7,8,9",文學院355,20,link,先修科目(1151032)英語聽講（二）(及格)
2,1152077,02,英語聽講（三）English Speaking and Listening III (全英語授課/English-taught),林欣瑩,"3
            3/0/0",3,必修,"一9 三8,9",文學院150,20,link,先修科目(1151032)英語聽講（二）(及格)
2,1152077,03,英語聽講（三）English Speaking and Listening III (全英語授課/English-taught),楊敏,"3
            3/0/0",3,必修,"三7,8,9",文學院151,20,link,先修科目(1151032)英語聽講（二）(及格)
2,1152101,01,德文（三）German III,楊美娟,"3
            3/0/0",3,選修,"一6,7,8",文學院136,60,link,
2,1152103,01,西班牙文（三）Spanish III,李優俐,"3
            3/0/0",3,選修,"五7,8,9",文學院148,35,link,
2,1152105,01,法文（三）French III,陳泓光,"3
            3/0/0",3,選修,"三10,11,12",文學院136,60,link,
2,1152107,01,日文（三）Japanese III,吳幸茹,"3
            3/0/0",3,選修,"二8,9,10",文學院136,60,link,
3,1153001,01,美國文學（一）American Lit. (I) (全英語授課/English-taught),賀小本,"3
            3/0/0",3,必修,"一7,8,9",文學院149,35,link,
3,1153011,01,英國文學：中世紀English Literature: Medieval (全英語授課/English-taught),王明月,"3
            3/0/0",3,必修,"三7,8,9",文學院143,35,link,
3,1153013,01,英國文學：文藝復興English Literature: Renaissance,林欣瑩,"3
            3/0/0",3,必修,"四7,8,9",文學院148,35,link,
3,1153015,01,英國文學：浪漫主義English Literature: Romanticism (全英語授課/English-taught),楊意鈴,"3
            3/0/0",3,必修,"三7,8,9",文學院148,35,link,
4,1154140,01,旅行與文學Travel and Literature (全英語授課/English-taught),林欣瑩,"3
            3/0/0",3,選修,"三4,5,6",文學院150,20,link,
4,1154224,01,小說選讀Selected Readings of Novels,龔紹明,"3
            3/0/0",3,選修,二G 四G,文學院281,20,link,
4,1154241,01,奇幻文學與電影Fantasy Literature and Films,龔紹明,"3
            3/0/0",3,選修,二B 四B,文學院281,20,link,
4,1154321,01,心理語言學Psycholinguistics (全英語授課/English-taught),吳勉禛,"3
            3/0/0",3,選修,"四4,5,6",文學院151,20,link,
4,1154338,01,雙語數位出版與職涯探索Bilingual Digital Publication and Career Exploration (全英語授課/English-taught),陳玟君,"3
            3/0/0",3,選修,"三7,8,9",文學院152,20,link,
4,1154339,01,應用文學Applied Literature (全英語授課/English-taught),賀小本,"3
            3/0/0",3,選修,"三4,5,6",文學院113,20,link,
4,1154340,01,童話故事Fairy Tales (全英語授課/English-taught),王明月,"3
            3/0/0",3,選修,"二8,9 四8",文學院151,20,link,
