年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,5301105,01,計算機概論Introduction to Computer (全英語授課/English-taught),許經國,"3
            3/0/0",3,必修,"三9 五8,9",管理學院415,70,link,"保留新生50人限本系生修. ,列入功能性基因體學程科目 ,列入程式設計學程科目 ,列入國際菁英學分學程科目"
1,5301105,02,計算機概論Introduction to Computer,簡立仁,"3
            3/0/0",3,必修,"五4,5,6",創新大樓341,80,link,"保留新生50人; 支援企管系一年級B班.限本系生修. ,列入功能性基因體學程科目 ,列入程式設計學程科目 ,列入國際菁英學分學程科目"
1,5301105,03,計算機概論Introduction to Computer,簡立仁,"3
            3/0/0",3,必修,"五7,8,9",創新大樓341,80,link,"保留新生50人; 支援企管系一年級A班.限本系生修. ,列入功能性基因體學程科目 ,列入程式設計學程科目 ,列入國際菁英學分學程科目"
1,5301105,04,計算機概論Introduction to Computer,張漢呈,"3
            3/0/0",3,必修,"五4,5,6",管理學院107,125,link,"保留新生75人; 支援經濟學系一年級.限本系生修. ,列入功能性基因體學程科目 ,列入程式設計學程科目 ,列入國際菁英學分學程科目"
1,5301105,05,計算機概論Introduction to Computer,林克偉,"3
            3/0/0",3,必修,"五4,5,6",電算中心215教室,70,link,"保留新生50人; 支援財金系一年級.限本系生修. ,列入功能性基因體學程科目 ,列入程式設計學程科目 ,列入國際菁英學分學程科目"
1,5301214,01,物件導向技術（一）－JAVAObject-Oriented Technology (I)-JAVA (全英語授課/English-taught),教師未定,"4
            3/1/0",3,必修,"一4,5 三4,5",管理學院349,50,link,"保留新生50人限本系生修. ,列入程式設計學程科目 ,列入人工智慧與電腦審計學程科目 ,列入國際菁英學分學程科目"
2,5302203,01,資料結構Data Structure,許巍嚴,"4
            3/1/0",3,必修,"二7 四7,8,9",管理學院415,70,link,"先修科目(5301216)程式設計(曾經修習) 限本系生修. ,列入軟體工程學程科目 ,列入程式設計學程科目 ,列入金融科技學分學程科目 ,列入人工智慧與電腦審計學程科目 ,列入國際菁英學分學程科目"
2,5302217,01,物件導向技術（二）－NETObject-Oriented Technology (II)-.NET (全英語授課/English-taught),教師未定,"3
            3/0/0",3,選修,一D 三D,管理學院119,30,link,",列入程式設計學程科目"
2,5302218,01,科技法律Law in Science and Technology,黃維民,"3
            3/0/0",3,必修,一G 三G,管理學院221,75,link,"限本系生修. ,列入金融科技學分學程科目 ,列入人工智慧與電腦審計學程科目 ,列入國際菁英學分學程科目"
2,5302221,01,醫療資訊管理概論Introduction to Healthcare Information Management,佘明玲,"3
            3/0/0",3,選修,"一7,8,9",管理學院616A,65,link,限本系生修.
2,5302223,01,搜尋引擎優化Search Engine Optimization (全英語授課/English-taught),林勝為,"3
            3/0/0",3,選修,"一5 三4,5",電算中心216教室,40,link,限本系生修.
3,5303102,01,系統分析與設計System Analysis & Design,阮金聲,"3
            3/0/0",3,必修,"二7,8,9",管理學院221,75,link,"限本系生修. ,列入軟體工程學程科目 ,列入人工智慧與電腦審計學程科目 ,列入國際菁英學分學程科目"
3,5303224,01,醫務管理Management for Healthcare Organizations (全英語授課/English-taught),林育秀,"3
            3/0/0",3,選修,"一8,9 三8",管理學院616B,20,link,限本系生修.
3,5303227,01,電子商務Electronic Commerce (全英語授課/English-taught),林勝為,"3
            3/0/0",3,必修,一F 三F,管理學院221,75,link,"限本系生修. ,列入電子商務學程科目 ,列入金融科技學分學程科目"
3,5303229,01,專案開發（一）Project Development I,洪新原,"2
            2/0/0",2,必修,一1 三1,管理學院221,75,link,"限本系生修. ,列入電子商務學程科目"
3,5303230,01,網路社群分析與管理Virtual Communities Analysis and Management (全英語授課/English-taught),教師未定,"3
            3/0/0",3,選修,一C 三C,管理學院119,30,link,",列入大數據與資料科學學程科目 ,列入人工智慧與電腦審計學程科目"
3,5303233,01,專案開發(二)Project Development (II),吳帆,"2
            2/0/0",2,必修,二1 四1,管理學院221,75,link,"限本系生修. ,列入電子商務學程科目"
3,5303245,01,物聯網技術與應用Internet of Things Technology and Application (全英語授課/English-taught),許經國,"3
            3/0/0",3,選修,"三10 五10,11",管理學院616A,65,link,限本系生修.
4,5304219,01,策略資訊管理Strategic Information Management  (全英語授課/English-taught),教師未定,"3
            3/0/0",3,必修,"二4,5 四4",管理學院221,75,link,先修科目(5303229)專案開發（一）(曾經修習) (5303233)專案開發(二)(曾經修習) (所有先修條件都必須符合)限本系生修.
4,5304220,01,資訊管理個案研究Case Studies in MIS,廖則竣,"3
            3/0/0",3,選修,"四3,4,5",管理學院608,15,link,
