年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,6301018,01,法學緒論（一）Introduction to Jurisprudence (I),李孟玢,"2
            2/0/0",2,選修,"四4,5",法學院204,70,link,保留新生50人
1,6301888,01,學系服務學習Service Learning: Campus Service,曾品傑,"1
            1/0/0",0,選修,一6,法學院201,50,link,限本系一年級單號學生修讀;
2,6302003,01,國際公法（一） Public International Law (I),林韋仲,"2
            2/0/0",2,必修,"三10,11",法學院205,70,link,先修科目(6301010)憲法（二）(曾經修習) (6101042)憲法（二）(曾經修習) (6201042)憲法（二）(曾經修習) (3301070)中華民國憲法與政府(曾經修習) (6011032)憲法（二）(曾經修習) (只要符合任一先修條件)支援政治系財法系二年級三年級A班.財法系相對必修課程
2,6302012,01,營業稅法Business Tax Law,辜仲明,"2
            2/0/0",2,選修,"五9,10",法學院101階梯教室,120,link,
2,6302017,01,英美法導論（一）An Introduction to Anglo-American Law(I),葉錦鴻,"2
            2/0/0",2,選修,"二8,9",法學院201,50,link,先修科目(6101022)民法總則（二）(曾經修習) (6201022)民法總則（二）(曾經修習) (6301009)民法總則（二）(曾經修習) (6011012)民法總則（二）(曾經修習) (只要符合任一先修條件)
3,6303001,01,民法債編各論（一）Civil Law：Kinds of Obligations (I),曾品傑,"2
            2/0/0",2,必修,"二4,5",法學院204,70,link,先修科目(6101022)民法總則（二）(曾經修習) (6201022)民法總則（二）(曾經修習) (6301009)民法總則（二）(曾經修習) (6011012)民法總則（二）(曾經修習) (只要符合任一先修條件)
3,6303003,01,民事訴訟法（一）Law of Civil Procedure (I),曾品傑,"2
            2/0/0",2,必修,"二2,3",法學院209,90,link,
3,6303008,01,商事法總論及公司法General Principles of Commercial Law and Corporation Law,林德瑞,"3
            3/0/0",3,必修,"一7,8,9",法學院205,70,link,
3,6303009,01,票據法Law of Bills and Notes,江朝聖,"2
            2/0/0",2,選修,"一10,11",法學院201,50,link,
3,6303020,01,信託法Trust Law,封昌宏,"2
            2/0/0",2,選修,"五12,13",法學院206,90,link,
3,6303021,01,刑事訴訟法（一）Law of Criminal Procedure (I),柯耀程,"2
            2/0/0",2,必修,"五2,3",法學院204,70,link,
3,6303025,01,公司法Corporation Law,江朝聖,"2
            2/0/0",2,必修,"一8,9",法學院203,60,link,支援法學組三年級A班.財法系學生或雙主修財法系學生不得修習
3,6303036,01,商標法Trademark Law,教師未定,"2
            2/0/0",2,必修,"五4,5",法學院201,50,link,先修科目(6012011)民法債編總論（一）(曾經修習) (6012013)民法物權（一）(曾經修習) (6102020)民法債編總論（二）(曾經修習) (6102024)民法物權（二）(曾經修習) (6202019)民法債編總論（二）(曾經修習) (6302020)民法債編總論（二）(曾經修習) (6302014)民法物權（二）(曾經修習) (6202024)民法物權（二）(曾經修習) (只要符合任一先修條件)限大三以上同學修習；新聘專任教師授課，授課時間可能會異動
3,6303044,01,全民健康保險法與新制菸害防制法National Health Insurance Act and New Tobacco Hazards Prevention Act,吳秀玲,"2
            2/0/0",2,選修,"四7,8",法學院201,50,link,
4,6304007,01,國際私法（一）Private International Law (I),林韋仲,"2
            2/0/0",2,必修,"四4,5",法學院203,60,link,先修科目(6302004)國際公法（二）(曾經修習) (6102040)國際公法(曾經修習) (6202041)國際公法(曾經修習) (只要符合任一先修條件)財法系相對必修課程
4,6304015,01,行政救濟法Administrative Remedy Law,張志偉,"2
            2/0/0",2,必修,"一4,5",法學院204,70,link,上課週次請注意E-course公告。
4,6304016,01,著作權法Copyright Law,姚信安,"2
            2/0/0",2,必修,"二8,9",法學院204,70,link,",列入本土語言與文化實踐學分學程科目 ,列入原住民族文化資產與創意應用學分學程科目"
4,6304027,01,法律實務(一)Legal Practice (I),姚信安,"2
            2/0/0",2,選修,"四2,3",法學院407,10,link,支援財法系三年級四年級A班.限本系生修.嘉義執行分署實習課程，限10人選修。請密切注意系辦通知之第一次上課時間(預計第一次實體上課時間為週四8:00~17:00，其餘為另約實習時間)
4,6304029,01,國際貿易法International Trade Law (全英語授課/English-taught),葉錦鴻,"2
            2/0/0",2,必修,"三4,5",法學院201,50,link,",列入財經法律國際商務法全英語學分學程科目"
3,6304037,01,納稅者權利保護法Taxpayer Rights Protection Law,辜仲明,"2
            2/0/0",2,必修,"五7,8",法學院101階梯教室,120,link,支援財法系三年級四年級.原稅法總論(6303024)課程
4,6304038,01,期貨交易法Future Trading Act,教師未定,"2
            2/0/0",2,選修,"五9,10",法學院204,70,link,
