年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
2,3451001,01,犯罪學Criminology,曾淑萍,"3
            3/0/0",3,必修,"三7,8,9",教育二館632,36,link,"限本系生修. ,列入司法心理學士學分學程科目限本系生、雙主修或輔系者選修。"
2,3451012,01,被害者學Victimology (全英語授課/English-taught),賴擁連,"2
            2/0/0",2,選修,"四8,9",教育館605,14,link,限本系生修.限本系生、雙主修或輔系者選修。EMI課程。
1,3451015,01,心理學（一）Psychology (I),戴伸峰,"2
            2/0/0",2,必修,"二8,9",教育二館632,36,link,"保留新生36人限本系生修. ,列入司法與高齡者社會工作學士學分學程科目限本系生、雙主修、輔系者選修。"
1,3451016,01,社會學（一）Sociology (I),許華孚,"2
            2/0/0",2,必修,"三8,9",教育館603,49,link,"保留新生36人限本系生修. ,列入司法與高齡者社會工作學士學分學程科目 ,列入司法心理學士學分學程科目限本系生、雙主修、輔系者選修。"
1,3451024,01,社會工作（一）Introduction to Social Work (I),簡美華,"2
            2/0/0",2,必修,"四4,5",教育館604,14,link,保留新生14人限本系生修.限本系生、雙主修者選修。
1,3451031,01,自我探索Self-Exploration,簡美華,"3
            3/0/0",3,選修,"五4,5,6",教育館604,14,link,保留新生14人限本系生修.限本系大一新生選修
1,3451032,01,腦與犯罪Brain and Crime,陳巧雲,"2
            2/0/0",2,選修,"二2,3",教育二館632,36,link,保留新生36人限本系生修.限本系生、雙主修、輔系者選修。
2,3452024,01,刑法總則（一）Criminal Law in General Part (I),馬躍中,"3
            3/0/0",3,必修,"二7,8,9",教育館603,49,link,"限本系生修. ,列入司法與高齡者社會工作學士學分學程科目 ,列入司法心理學士學分學程科目限本系生、雙主修、輔系者選修。"
3,3452026,01,警政管理Police Management,吳啓安,"2
            2/0/0",2,選修,"五8,9",教育館603,49,link,限本系生修.限本系生、雙主修或輔系者選修。
2,3452031,01,行為統計與電腦（一）Behavioral Statistics and Computer Appliance（Ι）,戴伸峰,"2
            2/0/0",2,必修,"三4,5",教育二館632,36,link,限本系生修.限本系生、雙主修或輔系者選修。
2,3452087,01,社會工作管理Social work management,蔡宜延,"3
            3/0/0",3,選修,"五4,5,6",教育館601,32,link,限本系生修.限本系大二以上學生、雙主修、輔系、司法與高齡者社會工作學分學程及司法心理學分學程學生選修。
3,3453010,01,犯罪矯正實務Practice of Correction (全英語授課/English-taught),賴擁連,"2
            2/0/0",2,選修,"三10,11",教育館605,14,link,限本系生修.限本系生、雙主修或輔系者選修。EMI課程。
3,3453024,01,監獄學Corrections,許華孚,"2
            2/0/0",2,必修,"三4,5",教育館603,49,link,"限本系生修. ,列入司法心理學士學分學程科目限本系生、雙主修或輔系者選修。"
3,3453036,01,犯罪矯正管理Correctional Management,黃維賢,"2
            2/0/0",2,選修,"五7,8",教育二館632,36,link,限本系生修.限本系生、雙主修或輔系者選修。
3,3453051,01,矯正諮商Correctional Counseling,林明傑,"2
            2/0/0",2,選修,"三2,3",教育二館632,36,link,限本系生修.限本系生、雙主修、輔系、司法與高齡者社會工作學分學程及司法心理學分學程學生選修。
3,3453067,01,當代犯罪學名著選讀The Studies of Contemporary Criminology (全英語授課/English-taught),許華孚,"2
            2/0/0",2,選修,"四4,5",教育館601,32,link,限本系生修.限本系生、雙主修或輔系者選修。EMI課程。
3,3453073,01,監獄行刑法The Criminal Execution Law,黃維賢,"2
            2/0/0",2,選修,"五4,5",教育二館632,36,link,限本系生修.限本系生、雙主修或輔系者選修。
3,3453091,01,社會研究法（一）Social Research Methods(I),戴伸峰,"2
            2/0/0",2,必修,"一8,9",教育二館632,36,link,限本系生修.限本系生、雙主修或輔系者選修。
3,3453097,01,警察法規Police Regulations,陳正根,"2
            2/0/0",2,選修,"二10,11",教育二館632,36,link,限本系生修.限本系生、雙主修或輔系者選修。
3,3453098,01,危機介入Crisis Intervention,簡美華,"3
            3/0/0",3,選修,"四7,8,9",教育館604,14,link,限本系生修.限本系生(大二至大四)、雙主修者選修。
4,3454010,01,精神醫療Medical Psychiatry,蔡宗晃,"2
            2/0/0",2,選修,"三4,5",教育館605,14,link,",列入司法心理學士學分學程科目"
4,3454031,01,性別暴力Gender Violence,鄭瑞隆,"2
            2/0/0",2,選修,"三4,5",教育二館631,36,link,"限本系生修. ,列入司法心理學士學分學程科目限本系生、雙主修、輔系、司法與高齡者社會工作學分學程及司法心理學分學程學生選修。"
4,3454033,01,"觀護制度與處遇Probation, Parole system and Treatmen",劉如蓉,"2
            2/0/0",2,選修,"四11,12",教育二館632,36,link,
