年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,5205004,01,人力資源管理Human Resource Management,劉敏熙,"3
            3/0/0",3,必修,"四7,8,9",管理學院455,30,碩士班課程,link,",列入人力資源與組織心理碩士學分學程科目"
1,5205005,01,管理資訊系統Management Information Systems,黃正魁,"3
            3/0/0",3,必修,"三3,4,5",管理學院427,32,碩士班課程,link,
1,5205006,01,行銷管理Marketing Management,莊世杰,"3
            3/0/0",3,必修,"二3,4,5",管理學院441研討室,40,碩士班課程,link,
1,5205008,01,財務管理Financial Management,宋豪漳,"3
            3/0/0",3,必修,"五4,5,6",管理學院454,0,碩士班課程,link,
1,5205015,01,策略管理Strategic Management,鄭祥麟 龔天鈞,"3
            3/0/0",3,必修,"二8,9,10",管理學院454,90,碩士班課程,link,
1,5205016,01,運籌管理Logistics Management,葉丁鴻,"3
            3/0/0",3,必修,"一3,4,5",管理學院427,32,碩士班課程,link,
1,5205031,01,組織行為Organizational Behavior,賴璽方,"3
            3/0/0",3,選修,"三7,8,9",管理學院116,50,碩士班課程,link,",列入人力資源與組織心理碩士學分學程科目"
1,5205040,01,多變量分析Multivariate Analysis,盧龍泉,"3
            3/0/0",3,選修,"三3,4,5",管理學院441研討室,0,碩士班課程,link,",列入大數據與資料科學學程科目 ,列入民意調查與行銷學分學程科目"
1,5205056,01,系統模擬Simulation,葉丁鴻,"3
            3/0/0",3,選修,"三7,8,9",管理學院443,14,碩士班課程,link,
1,5205069,01,消費者行為Consumer Behavior,游蓓怡,"3
            3/0/0",3,選修,"二F,G",管理學院441研討室,0,碩士班課程,link,",列入民意調查與行銷學分學程科目"
1,5205097,01,服務業行銷管理Marketing Management for Services,曾光華,"3
            3/0/0",3,選修,"三7,8,9",管理學院441研討室,40,碩士班課程,link,
1,5205145,01,管理科學Management Science,陳世彬,"3
            3/0/0",3,選修,"四3,4,5",管理學院427,0,碩士班課程,link,
1,5205164,01,品牌管理Brand Management,蘇宏仁,"3
            3/0/0",3,選修,"四7,8,9",管理學院427,16,碩士班課程,link,
1,5205205,01,管理專題講座Seminar on Management Practices,教師未定,"2
            0/2/0",1,必修,"三13,14",管理學院441研討室,0,碩士班課程,link,
1,5205216,01,企業實習Enterprise Internship,連雅慧 李佩璇,"2
            2/0/0",2,選修,"一10,11",管理學院427,0,碩士班課程,link,
1,5205219,01,高階財務管理Advanced Financial Management (全英語授課/English-taught),鎮明常,"3
            3/0/0",3,選修,"四13,14,15",管理學院427,0,碩士班課程,link,
1,5205226,01,商用英文（一）Business English Training I,陳詠卉,"2
            2/0/0",2,必修,"三10,11",管理學院441研討室,45,碩博合開,link,限本系生修習，外文系不得修習。
1,5205228,01,商用英文（三）Business English Training III,陳詠卉,"2
            2/0/0",2,必修,"四10,11",管理學院441研討室,47,碩博合開,link,先修科目(5205226)商用英文（一）(及格) (5205227)商用英文（二）(及格) (所有先修條件都必須符合)限本系生修習，外文系不得修習。
1,5205230,01,商用英文Business English Training,陳詠卉,"3
            3/0/0",3,選修,"三4,5,6",管理學院455,30,碩博合開,link,支援國經所財金所會資所資管所醫療資訊管理所一年級二年級.本系生及外文系不得修習。
1,5205236,01,創新創業微課程（一）Micro Program for Innovation and Entrepreneurship (I),許嘉文,"1
            1/0/0",1,選修,五10,管理學院454,90,碩士班課程,link,"先修科目(5205006)行銷管理() (5205015)策略管理() (5201001)企業概論() (只要符合任一先修條件) ,列入創意創新創造創業學分學程科目"
1,5205239,01,金融科技Financial Technology (全英語授課/English-taught),宋豪漳,"3
            3/0/0",3,選修,"三7,8,9",管理學院454,0,碩士班課程,link,
1,5205247,01,ESG青年創新創業進階專題研討ESG & Advanced Study in Entrepreneurship,方慧臻,"3
            3/0/0",3,選修,"四3,4,5",管理學院116,0,碩士班課程,link,
1,5205252,01,財務報表分析與金融會計訊息揭露Financial Statement Analysis and banking Institutions' Accounting Disclosure,宋豪漳,"3
            3/0/0",3,選修,"四7,8,9",管理學院441研討室,62,碩士班課程,link,
1,5205253,01,組織發展與變革策略Organizational Development and Change Strategy (全英語授課/English-taught),龔天鈞,"3
            3/0/0",3,選修,"三3,4,5",管理學院443,0,碩士班課程,link,
1,5205255,01,創新創業行動實踐微課程(一)Micro Program for Innovation and Entrepreneurial Practice (I),許嘉文,"1
            1/0/0",1,選修,五11,管理學院454,90,碩士班課程,link,",列入創意創新創造創業學分學程科目"
1,5205259,01,國際實習International Internship,盧龍泉,"2
            2/0/0",2,選修,"一8,9",管理學院441研討室,0,碩士班課程,link,
1,5206018,01,策略管理專題研討（二）Seminar in Strategic Management (II),許嘉文,"3
            3/0/0",3,選修,"四4,5,6",管理學院4312,0,博士班課程,link,
1,5206141,01,獨立研究－行銷倫理Independent Study - Marketing Ethics,盧龍泉,"3
            3/0/0",3,選修,"四3,4,5",管理學院4561,0,碩博合開,link,
1,5206159,01,財務與投資研討Finance and Investment,王明昌,"3
            3/0/0",3,選修,"四8,9,10",管理學院443,0,博士班課程,link,
1,5206168,01,獨立研究-組織領導專題  Independent Study-Topics in Organizational Leadership,連雅慧,"3
            3/0/0",3,選修,"五7,8,9",管理學院443,0,博士班課程,link,
1,5206204,01,產學研究專題研討(一)Seminar in Academics-Industry Collaboration,黃正魁 許嘉文 鄭祥麟,"3
            3/0/0",3,必修,"六7,8,9",管理學院443,0,博士班課程,link,
1,5206218,01,知識發展專題研討（三）Seminar in Knowledge Development (III),連雅慧,"1
            1/0/0",1,必修,六10,管理學院443,0,博士班課程,link,
1,5206453,01,人工智慧管理與創新Management and Innovation for Artificial Intelligence,黃正魁,"3
            3/0/0",3,選修,"二8,9,10",管理學院4561,10,碩博合開,link,先修科目(5205005)管理資訊系統(及格)
