年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,4151004,01,計算機概論Introduction to Computers (全英語授課/English-taught),陳自強,"3
            3/0/0",3,必修,一G 三G,工學院A館127,80,link,"保留新生80人 ,列入程式設計學程科目"
2,4152004,01,電路學（一）Electric Circuits (I),吳元康,"3
            3/0/0",3,必修,二F 四F,工學院A館227,100,link,限本系生修.
2,4152006,01,電子學（一）Electronics (I),吳建華,"3
            3/0/0",3,必修,"一C,D",工學院A館127,50,link,限本系生修.與通訊系併班上課。
2,4152006,02,電子學（一）Electronics (I),陳俊宏,"3
            3/0/0",3,必修,"二C,D",工學院A館127,50,link,限本系生修.與通訊系併班上課。
2,4152009,01,電工實驗（一）Electronic Engineering Laboratory (I),吳元康 吳建華 陳俊宏,"3
            0/3/0",1,必修,"一G,H",工學院A館221,46,link,限本系生修.
2,4152009,02,電工實驗（一）Electronic Engineering Laboratory (I),吳元康 吳建華 陳俊宏,"3
            0/3/0",1,必修,"二G,H",工學院A館221,46,link,限本系生修.
1,4152011,01,邏輯設計Logic Design,朱元三,"3
            3/0/0",3,必修,二F 四F,創新大樓103,40,link,保留新生40人限本系生修.與通訊系併班上課。
1,4152011,02,邏輯設計Logic Design (全英語授課/English-taught),余英豪,"3
            3/0/0",3,必修,二F 四F,工學院A館127,60,link,保留新生40人限本系生修.與通訊系併班上課。
1,4152012,01,邏輯設計實驗Logic Design Laboratory,余英豪,"3
            0/3/0",1,必修,"一E,F",工學院A館221,48,link,保留新生40人限本系生修.
1,4152012,02,邏輯設計實驗Logic Design Laboratory,余英豪,"3
            0/3/0",1,必修,"五E,F",工學院A館221,48,link,保留新生40人限本系生修.
3,4152015,01,工數（三）︰複變Engineering Mathematics (III)︰Complex Analysis,胡家彰,"3
            3/0/0",3,選修,二C 四C,創新大樓102,50,link,與通訊系併班上課。
2,4152018,01,微分方程Differential Equations (全英語授課/English-taught),張文恭,"3
            3/0/0",3,必修,"三C,D",工學院A館127,85,link,先修科目(4151011)線性代數(曾經修習) (2101019)微積分（一）(曾經修習) (2101020)微積分（二）(曾經修習) (所有先修條件都必須符合)限本系生修.
2,4152201,01,資料結構Data Structure (全英語授課/English-taught),劉立頌,"3
            3/0/0",3,選修,一F 三F,工學院A館127,60,link,"先修科目(4151008)程式設計(及格) (4301003)程式設計(及格) (只要符合任一先修條件) ,列入軟體工程學程科目 ,列入程式設計學程科目"
3,4153002,01,電磁學（二）Electromagnetics (II),張嘉展,"3
            3/0/0",3,選修,一C 三C,工學院A館227,50,link,與通訊系併班上課。
3,4153203,01,通訊原理Principles of Communications (全英語授課/English-taught),劉宗憲,"3
            3/0/0",3,選修,二B 四B,創新大樓102,50,link,與通訊系併班上課。
3,4153205,01,電機機械Electric Machinery,劉祐任,"3
            3/0/0",3,選修,"二C,D",工學院A館225,65,link,
3,4153206,01,超大型積體電路設計導論Introduction to VLSI Design,黃崇勛,"3
            3/0/0",3,選修,"二E,F",工學院A館225,22,link,先修科目(4152011)邏輯設計(70分以上) (4152006)電子學（一）(70分以上) (4152007)電子學（二）(70分以上) (所有先修條件都必須符合)與通訊系併班上課。
3,4153208,01,控制系統Control Systems (全英語授課/English-taught),余國瑞,"3
            3/0/0",3,選修,"三E,F",工學院A館125,65,link,
3,4153211,01,電腦網路導論Introduction to Computer Networks,吳承崧,"3
            3/0/0",3,選修,"三C,D",創新大樓504,20,link,",列入資通安全學程(1091起停辦)科目與通訊系併班上課。"
3,4153228,01,綠色能源專題（一）Special Topics on Green Energy (I),余國瑞,"2
            2/0/0",2,選修,"二13,14",工學院A館126,20,link,",列入循環科技與永續發展學分學程科目"
4,4153237,01,智慧型系統專題製作（二）Design Project on Intelligent Systems (II),劉立頌 余英豪 謝奇文,"2
            2/0/0",2,選修,"一13,14",工學院A館126,20,link,
4,4153304,01,電磁積體電路專題（二）Special Topics on Electromagnetic Integrated Circuits ( II ),張盛富 湯敬文 張嘉展 吳建華 林士程,"2
            2/0/0",2,選修,"四13,14",工學院A館125,30,link,與通訊系併班上課。
3,4153900,01,軟體程式開發實務與實作Practice and Implementation for,李昌明,"3
            3/0/0",3,選修,"五4,5,6",創新大樓504,10,link,先修科目(4152201)資料結構(及格) (4302005)資料結構(及格) (只要符合任一先修條件)與通訊系併班上課。
3,4153918,01,電磁科技導論Introduction to Electromagnetic Technology,湯敬文,"3
            3/0/0",3,選修,"三4,5,6",創新大樓102,60,link,與通訊系併班上課。
3,4153919,01,影像處理導論Introduction to Image Processing,江瑞秋,"3
            3/0/0",3,選修,二F 四F,創新大樓504,40,link,
4,4154035,01,數位訊號處理專題（二）Special Topics on Digital Signal Processing (II),陳自強 江瑞秋,"2
            2/0/0",2,選修,"二13,14",工學院A館226,20,link,
4,4154036,01,超大型積體電路專題（二）Special Topics on VLSI  (II),朱元三,"2
            2/0/0",2,選修,"三13,14",工學院A館447,55,link,
4,4154038,01,網路技術與應用專題（二）Special Topics on Network Technology and Applications (II),鄭伯炤 吳承崧 李詩偉 潘仁義 李皇辰 賴傳淇 施淵耀,"2
            2/0/0",2,選修,"二13,14",創新大樓439,4,link,與通訊系併班上課。
4,4154039,01,通訊系統專題（二）Special Topics on Communication Systems ( II ),劉宗憲 邱茂清 胡家彰 李昌明 蘇益生 翁健家,"2
            2/0/0",2,選修,"一13,14",創新大樓439,4,link,與通訊系併班上課。
4,4154040,01,綠色能源專題（二）Special Topics on Green Energy (II),余國瑞,"2
            2/0/0",2,選修,"三13,14",工學院A館126,20,link,",列入循環科技與永續發展學分學程科目"
4,4154041,01,能源與電力系統專題(二)Energy and Power System Senior Project (II),張文恭 吳元康 劉祐任,"2
            2/0/0",2,選修,"四13,14",工學院A館126,20,link,",列入循環科技與永續發展學分學程科目"
