年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,3305001,01,研究方法Research Methods,林瓊珠,"3
            3/0/0",3,必修,"三7,8,9",社科院二館701,30,碩士班課程,link,",列入公部門管理學分學程科目 ,列入民意調查與行銷學分學程科目 ,列入全球治理學分學程科目 ,列入社會正義學分學程科目碩士班必修課程"
1,3305004,01,抽樣調查實務（一）Survey Research in Practice I,林瓊珠,"3
            3/0/0",3,選修,"三4,5,6",社科院二館105,15,碩士班課程,link,",列入民意調查與行銷學分學程科目需有擔任過民調中心訪員，累積時數36小時以上(碩一新生請於第一週與老師確認)。民意調查與行銷學程必修課。"
1,3305019,01,公共政策Public Policy,莊文忠,"3
            3/0/0",3,選修,"四10,11,12",社科院二館709,0,碩士班課程,link,112學年度(含)入學以前學士班學生可採計為「公行與政策組」專選，惟日後該碩士班同名課程不得重複採計為碩士班畢業學分
1,3305022,01,中國大陸一帶一路專題研究China's Belt and Road Initiative,李佩珊,"3
            3/0/0",3,選修,"一7,8,9",社科院二館709,20,碩士班課程,link,",列入全球治理學分學程科目全球治理學分學程選修課，可採計為「比較政治組」、「國際關係組」專選二擇一，惟日後該碩士班同名課程不得重複採計為碩士班畢業學分"
1,3305023,01,當代中國社會Contemporary Chinese Society,林平,"3
            3/0/0",3,選修,"五7,8,9",社科院二館105,0,碩士班課程,link,",列入全球治理學分學程科目全球治理學分學程必修課程；可採計為學士班「比較政治組」專選，惟日後該碩士班同名課程不得重複採計為碩士班畢業學分"
1,3305031,01,"藝文、AI時代與國家軟實力Seminar Artworks, AI Time and State Soft powers",藍玉春,"3
            3/0/0",3,選修,"四3,4,5",社科院二館701,15,碩士班課程,link,已修過「藝文、時代與國家軟實力」之碩二(含)以上同學不得修此門課程，若未修過且經授課老師同意、系辦審核通過，則可人工加簽。
1,3305032,01,中美關係Sino-US Relations,蔡榮祥,"3
            3/0/0",3,選修,"二3,4,5",社科院二館108,0,碩士班課程,link,可採計為學士班「國際關係組」專業選修，惟日後該碩士班同名課程不得重複採計為碩士班畢業學分
1,3305420,01,國際政治經濟學International Political Economy,李佩珊,"3
            3/0/0",3,選修,"四4,5,6",社科院二館709,20,碩士班課程,link,",列入全球治理學分學程科目全球治理學分學程必修課程；學士班可採計為「國際關係組」專選，惟日後該碩士班同名課程不得重複採計為碩士班畢業學分"
1,3306410,01,台灣政經發展專題研究Seminar on Political and Economic Development in Taiwan,陳尚志,"3
            3/0/0",3,選修,"一10,11,12",社科院二館802,0,碩士班課程,link,",列入公部門管理學分學程科目「公部門管理」學分學程必修課程；本課程可上課時吃晚餐"
1,3306710,01,政治社會化Political Socialization,陳光輝,"3
            3/0/0",3,選修,"四7,8,9",社科院二館709,0,碩士班課程,link,可採計為學士班「比較政治組」專業選修、「公民社會組」專業必修二擇一，惟日後該碩士班同名課程不得重複採計為碩士班畢業學分
