年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,1251011,01,哲學概論（一）Introduction of Philosophy (I),侯維之,"2
            2/0/0",2,必修,"四5,6",文學院139,60,link,保留新生50人
1,1251406,01,基礎邏輯（上）Logic (I),蔡行健,"2
            2/0/0",2,必修,"五2,3",文學院139,30,link,保留新生30人
1,1251406,02,基礎邏輯（上）Logic (I),王仁俊,"2
            2/0/0",2,必修,"四8,9",文學院140,30,link,保留新生30人
1,1251907,01,哲學人學Philosophical Anthropology,洪裕元,"2
            2/0/0",2,選修,"一8,9",文學院140,45,link,
1,1251911,01,哲學史（一）History of Philosophy (I),金凱文,"2
            2/0/0",2,必修,"三2,3",文學院139,60,link,保留新生50人保留新生50人。
2,1252305,01,心靈哲學Philosophy of Mind,金凱文,"3
            3/0/0",3,選修,"二4,5,6",文學院139,60,link,",列入認知科學學程(1091起停辦)科目必選課。(與語言哲學至少二選一）"
2,1252517,01,科學推理Scientific Reasoning,陳瑞麟,"3
            3/0/0",3,選修,"一7,8,9",文學院142,40,link,必選課。（與科學哲學、後設邏輯至少三選一）
2,1252600,01,倫理學Ethics,許漢,"3
            3/0/0",3,必修,"五4,5,6",文學院140,45,link,
2,1252614,01,"應用倫理學: 邪惡、貧窮、死亡、幸福與地方文化Aplied Ethics: Evil, Poverty, Death, Well-being, and Local Culture",祖旭華,"3
            3/0/0",3,必修,"四10,11,12",文學院139,60,link,"1、與政治哲學至少二選一。2、文學院主題課程。"
2,1252651,01,金融倫理學Finance Ethics,王一奇,"3
            3/0/0",3,選修,"四4,5,6",管理學院201,60,link,限修20人
2,1252907,01,羅爾斯John Rawls,謝世民,"2
            2/0/0",2,選修,"二4,5",文學院142,40,link,屬「經典哲學家與哲學史」。
2,1252943,01,休謨Hume,許漢,"2
            2/0/0",2,選修,"一5,6",文學院140,45,link,屬「經典哲學家與哲學史」。
3,1253100,01,形上學Metaphysics,王一奇,"3
            3/0/0",3,必修,一C 三C,文學院139,60,link,
3,1253405,01,證明論Proof theory,王仁俊,"2
            2/0/0",2,選修,"四4,5",文學院140,45,link,
3,1253607,01,關懷倫理學Ethics of Care,吳秀瑾,"3
            3/0/0",3,選修,"一10,11,12",文學院139,60,link,
3,1253801,01,法律與道德Law and Morality,謝世民,"3
            3/0/0",3,選修,二F 四F,文學院142,40,link,
3,1253939,01,當代女哲學家：Phillipa Foot (1920-2010) Contemporary Female Philosopher: Phillipa Foot (1920-2010),吳秀瑾,"2
            2/0/0",2,選修,"二10,11",文學院140,45,link,屬「經典哲學家與哲學史」。
4,1254606,01,情感哲學Philosophy of Emotions,張忠宏,"3
            3/0/0",3,選修,"二7,8,9",文學院140,45,link,
