年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,5265001,01,計量經濟學Econometrics (全英語授課/English-taught),林岳喬,"3
            3/0/0",3,必修,"三3,4,5",創新大樓383,0,碩士班課程,link,
1,5265005,01,公司治理Corporate Governance,洪育忠,"3
            3/0/0",3,選修,"二7,8,9",創新大樓383,0,碩士班課程,link,
1,5265022,01,會計資訊系統研討Seminar on Accounting Information Systems,黃劭彥,"3
            3/0/0",3,必修,"三8,9,10",創新大樓271,0,碩士班課程,link,限本系生修.
1,5265024,01,企業資源規劃研討Enterprise Resource Planning,許育峯,"3
            3/0/0",3,必修,"四8,9,10",創新大樓261,50,碩士班課程,link,先修科目(5265002)資料庫管理研討(曾經修習)
1,5265036,01,研究方法Research Method,洪育忠,"3
            3/0/0",3,必修,"一7,8,9",創新大樓271,0,碩士班課程,link,
1,5265038,01,統計資料分析與應用statistical Data Analysis and Application,邱献良,"3
            3/0/0",3,選修,"二10,11,12",創新大樓261,0,碩士班課程,link,
1,5265064,01,高等管理會計Advanced Management Accounting,卓佳慶,"3
            3/0/0",3,必修,"三3,4,5",創新大樓271,0,碩士班課程,link,限本系生修.
1,5265072,01,投資實務Investment Analysis: Theory and Practice (全英語授課/English-taught),林岳喬,"3
            3/0/0",3,選修,"四8,9,10",創新大樓383,0,碩士班課程,link,支援會資系三年級四年級.開放本系大三、大四學生修習
1,5266007,01,會計與資訊科技專題研究（一）Accounting and Information Technology Project Research (I),教師未定,"1
            1/0/0",1,必修,四4,創新大樓161,0,碩士班課程,link,
1,5266008,01,會計與資訊科技專題研究（二）Accounting and Information Technology Project Research (II),教師未定,"1
            1/0/0",1,必修,四5,創新大樓161,0,碩士班課程,link,
1,5268119,01,高等會計資訊研究Advanced Accounting lnformation Systems Research (全英語授課/English-taught),張碩毅,"3
            3/0/0",3,必修,"五7,8,9",創新大樓383,0,博士班課程,link,
