年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,3905001,01,應用統計學Selected Application of Statistical Methods,陳永洲,"2
            2/0/0",2,必修,"四2,3",運技系110室,40,碩士班課程,link,
1,3905006,01,體適能與全人健康專題研究Special Topics on Physical Fitness and Wellness,王秀華,"2
            2/0/0",2,選修,"四4,5",運技系107室,30,碩士班課程,link,",列入運動心理科學碩士學分學程科目"
1,3905031,01,"體育健康休閒研究方法Research Methods in Health, Physical Education and Recreation (全英語授課/English-taught)",教師未定,"2
            2/0/0",2,必修,"四8,9",運技系103室,40,碩士班課程,link,",列入運動心理科學碩士學分學程科目"
1,3905039,01,當代運動與休閒書報討論Seminar: Contemporary Issues In Sports & Leisure Studies,李淑芳,"2
            0/0/2",1,必修,"三2,3",運技系104室,40,碩士班課程,link,
1,3905135,01,運動與休閒心理學Psychology of Sports & Leisure,劉淑燕,"2
            2/0/0",2,選修,"二8,9",運技系110室,0,碩士班課程,link,",列入運動心理科學碩士學分學程科目"
1,3905143,01,休閒活動與健康促進Leisure Activity and Health Promotion,許文蔚,"2
            2/0/0",2,選修,"二8,9",運技系107室,30,碩士班課程,link,
1,3905151,01,身體活動心理學研究方法Resenrch Methods in Psychology of Physical Activity,陳俊民,"2
            2/0/0",2,選修,"二2,3",運技系104室,40,碩士班課程,link,",列入運動心理科學碩士學分學程科目"
1,3905155,01,運動訓練專題研究Special Topics in Sport Tranining,王順正,"2
            2/0/0",2,選修,"三8,9",運技系103室,40,碩士班課程,link,",列入運動心理科學碩士學分學程科目"
1,3905347,01,學校體育研究Advanced Physical Education in School,曾沈連魁,"2
            2/0/0",2,選修,"三8,9",運技系104室,0,碩士班課程,link,
1,3905349,01,質的體育研究法Qualitative Research Methods in Physical Education,曾沈連魁,"2
            2/0/0",2,選修,"二10,11",運技系104室,0,碩士班課程,link,
