年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,3505103,01,教育哲學研究Researches on Educational Philosophy,李奉儒,"2
            2/0/0",2,選修,"三10,11",教育館404,0,碩士班課程,link,
1,3505105,01,教育社會學研究Sociology of Education,王雅玄,"2
            2/0/0",2,選修,"四4,5",教育館404,0,碩士班課程,link,
1,3505110,01,比較教育研究Comparative Studies in Education,李奉儒,"2
            2/0/0",2,選修,"四4,5",教育館407,0,碩士班課程,link,
1,3505114,01,獨立研究：教育管理（二）Independent Studies: Educational Management (II),詹盛如,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505115,01,獨立研究：學校行政（二）Independent Studies: School Administration (II),林明地,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505122,01,教育領導研究Research on Educational Leadership,林明地,"2
            2/0/0",2,選修,"三2,3",教育館404,0,碩士班課程,link,
1,3505151,01,獨立研究：教育哲史（二）Independent Studies: Philosophy and History of Education,李奉儒,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505164,01,教育研究法Research Methods of Education,王雅玄 詹盛如,"2
            2/0/0",2,選修,"四2,3",教育館404,0,碩士班課程,link,
1,3505192,01,獨立研究：教育社會學（二）Independent Studies: Sociology of Education (II),王雅玄,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505204,01,獨立研究：改革教育學（二）Independent Studies: Reformative Pedagogy (II),朱啓華,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505212,01,高等教育研究Research on High Education,詹盛如,"2
            2/0/0",2,選修,"二2,3",教育館405,0,碩士班課程,link,
1,3505218,01,獨立研究：學校組織行為（二）Independent Studies: Organizational Behaviour in School (II),陳幸仁,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505239,01,教育統計學及電子計算機應用Education Statistics and Computer Application,連啟舜,"3
            3/0/0",3,選修,"三4,5,6",教育二館433,0,碩士班課程,link,
1,3505245,01,童年與教育研究Research on childhood and Education,顧曉雲,"2
            2/0/0",2,選修,"四8,9",教育館405,0,碩士班課程,link,
1,3505250,01,教育學導論Introducation of Pedagogy,鄭勝耀,"2
            2/0/0",2,選修,"三8,9",教育館403,0,碩士班課程,link,
1,3505263,01,獨立研究：弱勢學生與教育（二）Independent Studies:Disadvantaged Students and Education(II),鄭勝耀,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505282,01,獨立研究：教育史(二)Independent Studies:History of Education(II),顧曉雲,"1
            1/0/0",1,選修,三7,教授研究室,0,碩士班課程,link,
1,3505285,01,西洋女子教育思想史研究Research on History of Western Female Educational Thought,顧曉雲,"2
            2/0/0",2,選修,"四10,11",教育館405,0,碩士班課程,link,
1,3505287,01,教學理論史研究Research on History of Teaching Theory,朱啓華,"2
            2/0/0",2,選修,"二4,5",教育館404,0,碩士班課程,link,
1,3505291,01,學校諮商實習School counseling and internship,陳慧女,"4
            4/0/0",4,選修,"五7,8,9,10",教育二館436,0,碩士班課程,link,
