年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
1,3351006,01,基礎寫作Basic Writing,陳怡璇,"3
            3/0/0",3,必修,"二4,5,6",社科院207,35,link,保留新生25人限本系生修.本班為基礎寫作01班，限修人數35名，保留大一25名。請學號單號選修01班，雙號選修02班。
1,3351006,02,基礎寫作Basic Writing,劉榮樺,"3
            3/0/0",3,必修,"二4,5,6",社科院103,35,link,保留新生25人限本系生修.本班為基礎寫作02班，限修人數35名，保留大一25名。請學號單號選修01班，雙號選修02班。
1,3351013,01,戲劇概論Introduction to Drama,李政忠,"3
            3/0/0",3,選修,"四4,5,6",社科院102,24,link,"保留新生16人 ,列入「戲劇‧創意‧想像」學分學程科目保留大一16名"
1,3351015,01,文選Selected Readings in Communication,林怡玫 張時健 吳政龍,"3
            3/0/0",3,選修,"二7,8,9",社科院103,55,link,保留新生30人保留大一30名
1,3351022,01,社會學與傳播Sociology & Communication,羅世宏,"3
            3/0/0",3,必修,"二7,8,9",社科院207,50,link,保留新生30人限本系生修.本課程與「政治學與傳播」、「心理學與傳播」、「經濟學與傳播」為必修四選二課程。本系生若選修其他學系或通識課程之「社會學」，其學分僅能擇一科目採計。
1,3351023,01,基礎影像製作Introduction to Visual Production,吳政龍,"3
            3/0/0",3,必修,"三10,11,12",社科院103,35,link,保留新生25人限本系生修.本班限修人數35名，保留大一25名。請學號單號選修01班，雙號選修02班
1,3351023,02,基礎影像製作Introduction to Visual Production,張時健,"3
            3/0/0",3,必修,"三10,11,12",社科院207,35,link,保留新生25人限本系生修.本班限修人數35名，保留大一25名。請學號單號選修01班，雙號選修02班
1,3351024,01,傳播概論Introduction to Communication,唐士哲,"3
            3/0/0",3,必修,"一4,5,6",社科院103,55,link,保留新生50人限本系生修.保留大一50名
1,3351030,01,媒體科技與社會Media Technology and Society,林怡玫,"3
            3/0/0",3,選修,"一7,8,9",社科院102,24,link,保留新生16人保留大一16名
2,3352007,01,研究方法Research Method,陳怡璇,"3
            3/0/0",3,必修,"三4,5,6",社科院227-1,55,link,限本系生修.
2,3352016,01,基礎公共演說Basic Public Speaking (全英語授課/English-taught),盧鴻毅,"3
            3/0/0",3,選修,"二7,8,9",社科院225,20,link,全英語授課
2,3352023,01,廣告概論Introduction to Advertisting,戴皖文,"3
            3/0/0",3,選修,"一4,5,6",社科院227-1,55,link,
2,3352032,01,國際傳播International Communication (全英語授課/English-taught),張時健,"3
            3/0/0",3,選修,"二4,5,6",社科院102,24,link,全英語授課
2,3352036,01,影音新聞製作Video News Production,蔡崇隆,"3
            3/0/0",3,選修,"三10,11,12",社科院227-1,55,link,先修科目(3351026)新聞採訪寫作(曾經修習)
2,3352042,01,公共關係Public Relations,戴皖文,"3
            3/0/0",3,選修,"三10,11,12",社科院227,50,link,
