年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,6305001,01,財政憲法專題研究Seminar on Financial Constitutional Law,黃俊杰,"2
            2/0/0",2,必修,"二8,9",法學院406,40,碩博合開,link,財稅法組必修課程
1,6305006,01,法學英文(一)-侵權行為法Legal English(I)-Torts (全英語授課/English-taught),葉錦鴻,"2
            2/0/0",2,必修,"二10,11",法學院509,20,碩士班課程,link,",列入財經法律國際商務法全英語學分學程科目"
1,6305015,01,東亞民法專題研究(一)Seminar on East Asian Civil Laws(I) (全英語授課/English-taught),曾品傑,"2
            2/0/0",2,選修,"一8,9",法學院508,40,碩博合開,link,",列入財經法律國際商務法全英語學分學程科目"
1,6305023,01,法學英文(五)- 法律寫作導論Legal English (V) - Introduction to Legal Writing (全英語授課/English-taught),南瓦尼蘇勵栩,"2
            2/0/0",2,必修,"三7,8",法學院507,40,碩士班課程,link,",列入財經法律國際商務法全英語學分學程科目密集授課，實際上課為10月28日至12月6日截止:上課時間為每週三1310-1600、每週五1010-1230"
1,6305027,01,國際金融機構：法律與政策International Financial Institutions: Law and Practice (全英語授課/English-taught),南瓦尼蘇勵栩,"2
            2/0/0",2,選修,"一4,5",法學院406,40,碩博合開,link,密集授課，實際上課為10月28日至12月6日截止:上課時間為每週一1010-1230、每週二1310-1600
1,6305030,01,著作權法專題研究Seminar on Copyright Law,姚信安,"2
            2/0/0",2,選修,"三4,5",法學院507,40,碩博合開,link,
1,6305046,01,醫事健保與醫療事故預防及爭議處理法專題研究(二)Research on Medical Health Insurance and Malpractice Prevention and Dispute Resolution Law (II),吳秀玲,"2
            2/0/0",2,選修,"四4,5",法學院406,40,碩博合開,link,
1,6305069,01,稅捐救濟專題研究（三）Tax Remedy (III),林文舟,"2
            2/0/0",2,選修,"四7,8",法學院508,40,碩博合開,link,密集授課，實際上課為每個月第三週或第四週集中上課:週三1330-1730、接續週四1330-1730
1,6306105,01,國際貿易法專題研究（一）Seminar on International Trade Law (I) (全英語授課/English-taught),葉錦鴻,"2
            2/0/0",2,選修,"三10,11",法學院507,40,碩博合開,link,",列入財經法律國際商務法全英語學分學程科目"
1,6306108,01,證券交易法專題研究Seminar on Security and Exchange Law,教師未定,"2
            2/0/0",2,選修,"五7,8",法學院406,40,碩博合開,link,
1,6306207,01,智慧財產權法總論專題研究（一）General Introduction on Intellectual Property Law (I),教師未定,"2
            2/0/0",2,必修,"五2,3",法學院406,40,碩博合開,link,財經法組必修課程；新聘專任教師授課，授課時間可能會異動
1,6306303,01,金融法專題研究Seminar on Financial Law,江朝聖,"2
            2/0/0",2,必修,"二4,5",法學院508,40,碩博合開,link,財經法組必修課程
1,6306504,01,國際經濟法專題研究（一）Seminar on International Economic Law (全英語授課/English-taught),林韋仲,"2
            2/0/0",2,必修,"四10,11",法學院507,40,碩博合開,link,",列入財經法律國際商務法全英語學分學程科目財經法組必修課程"
1,6306505,01,稅法基礎理論專題研究（一）Basic Principles on Tax Law (I),黃俊杰,"2
            2/0/0",2,選修,"二10,11",法學院406,40,碩博合開,link,
1,6306512,01,稅捐稽徵法專題研究（三）Seminar onTax Collection Law(III),盛子龍,"2
            2/0/0",2,選修,二12 四12,法學院508,40,碩博合開,link,
