年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
1,2605211,01,高等有機化學（一）Advanced Organic Chemistry (I),許岱欣,"3
            3/0/0",3,選修,"三E,F",化生系502,0,碩博合開,link,
1,2605242,01,有機光譜分析化學（二）Organic Spectroscopic Analysis (II),洪伯誠,"3
            3/0/0",3,選修,"五C,D",化生系319,0,碩博合開,link,
1,2605269,01,藥物生化Medical Biochemistry,程中玉,"3
            3/0/0",3,選修,"一B,C",化生系319,0,碩博合開,link,",列入功能性基因體學程科目"
1,2605307,01,高等無機化學Advanced Inorganic Chemistry,曾炳墝,"3
            3/0/0",3,選修,"二B,C",化生系502,0,碩博合開,link,
1,2605317,01,固態化學Solid State Chemistry,教師未定,"3
            3/0/0",3,選修,"四B,C",化生系116,0,碩博合開,link,
1,2605417,01,高等量子化學Advanced Quantum Chemistry (全英語授課/English-taught),胡維平,"3
            3/0/0",3,選修,"二B,C",化生系313,0,碩博合開,link,本課程含AI輔助學習
1,2605420,01,生物化學特論：生物分子結構與功能Special topics in Biochemistry: Biomolecular Structure and Function,陳皓君,"3
            3/0/0",3,選修,"三3,4,5",化生系502,0,碩博合開,link,
1,2605441,01,光譜應用（一）Applied Spectroscopy (I),楊子萱,"3
            3/0/0",3,選修,"一3,4,5",化生系502,0,碩博合開,link,
1,2605507,01,光譜化學分析與化學計量學Spectrochemical Analysis and Chemometrics,王少君,"3
            3/0/0",3,選修,二C 四C,化生系319,0,碩博合開,link,",列入循環科技與永續發展學分學程科目"
1,2605531,01,生物分析化學（一）Bioanalytical Chemistry (I),陳皓君,"3
            3/0/0",3,選修,"一C,D",化生系402,0,碩博合開,link,",列入自然科學與材料生物科技全英文學分學程科目"
1,2605801,01,專題演講(一)Colloquium  (I),王少君,"2
            0/0/2",1,選修,"二8,9",化生系315,0,碩博合開,link,
1,2605803,01,實驗室化學安全衛生教育Instruction on Laboratory Safety and Health,王少君,"2
            0/2/0",1,選修,"二12,13",化生系319,0,碩博合開,link,
1,2605901,01,有機化學書報討論（一）Organic Chemistry Seminar (I),朱延和,"2
            0/0/2",1,必修,"四8,9",化生系319,0,碩博合開,link,
1,2605905,01,無機化學書報討論（一）INorganic Chemistry Seminar (I),華紹安,"2
            0/0/2",1,必修,"一8,9",化生系317,0,碩博合開,link,
1,2605909,01,物理化學書報討論（一）Physical Chemistry Seminar (I),林群欽,"2
            0/0/2",1,必修,"一8,9",化生系116,0,碩博合開,link,
1,2605913,01,分析化學書報討論（一）Analytical Chemistry Seminar (I),周禮君,"2
            0/0/2",1,必修,"一8,9",化生系319,0,碩博合開,link,
1,2605914,01,分析化學書報討論（三）Analytical Chemistry Seminar (III),陳彥伶,"2
            0/0/2",1,必修,"一8,9",化生系315,0,碩博合開,link,
